,date,vodka,State,spider solitaire,participants_x,inflation_x,participants_y,blood drive,ebay,jobs,brownie recipe,xbox,linkedin,haircut,calvin klein,candy crush,omegle,slutload,inflation_y,harvard,jobs near me,mens underwear,pornhub,lottery,google flights,unemployment,resume template
86,2018-03-01,66.0,AL,37.0,18.0,52.0,17.0,23.0,42.0,59.0,36.0,51.0,35.0,62,41.0,9.0,11.0,2.0,58.0,45.0,61.0,19,79,28.0,59,21,19.0
87,2018-04-01,51.0,AL,59.0,11.0,93.0,80.0,88.0,39.0,64.0,57.0,42.0,45.0,64,30.0,9.0,19.0,5.0,72.0,55.0,64.0,13,82,27.0,44,19,13.0
88,2018-05-01,61.0,AL,52.0,8.0,54.0,27.0,8.0,40.0,73.0,19.0,44.0,39.0,64,34.0,8.0,15.0,5.0,62.0,45.0,80.0,33,81,27.0,71,20,24.0
89,2018-06-01,70.0,AL,46.0,9.0,60.0,28.0,17.0,41.0,76.0,20.0,54.0,43.0,66,44.0,8.0,18.0,4.0,62.0,30.0,89.0,34,86,26.0,61,20,17.0
90,2018-07-01,77.0,AL,65.0,14.0,55.0,18.0,16.0,40.0,74.0,10.0,50.0,45.0,66,42.0,8.0,22.0,3.0,43.0,32.0,78.0,67,88,30.0,56,21,34.0
91,2018-08-01,60.0,AL,40.0,5.0,51.0,44.0,16.0,39.0,72.0,28.0,42.0,40.0,81,39.0,6.0,17.0,6.0,42.0,71.0,100.0,13,79,27.0,70,23,17.0
92,2018-09-01,74.0,AL,41.0,5.0,49.0,44.0,0.0,34.0,64.0,38.0,42.0,42.0,40,36.0,6.0,11.0,0.0,45.0,62.0,82.0,19,78,24.0,63,19,20.0
93,2018-10-01,60.0,AL,36.0,13.0,48.0,17.0,23.0,34.0,66.0,51.0,41.0,39.0,51,39.0,7.0,11.0,6.0,69.0,42.0,78.0,32,76,70.0,54,17,33.0
94,2018-11-01,67.0,AL,38.0,16.0,60.0,53.0,32.0,38.0,58.0,24.0,55.0,36.0,66,65.0,6.0,22.0,6.0,47.0,61.0,83.0,51,78,25.0,63,24,26.0
95,2018-12-01,78.0,AL,39.0,8.0,69.0,54.0,16.0,41.0,56.0,44.0,71.0,34.0,50,60.0,5.0,12.0,5.0,43.0,69.0,76.0,40,83,28.0,65,25,7.0
96,2019-01-01,70.0,AL,60.0,28.0,77.0,74.0,15.0,34.0,71.0,49.0,47.0,45.0,57,66.0,6.0,20.0,1.0,47.0,49.0,97.0,24,81,29.0,93,26,31.0
97,2011-01-01,21.0,AK,32.0,0.0,16.0,0.0,0.0,86.0,90.0,56.0,47.0,15.0,18,27.0,0.0,38.0,90.0,0.0,35.0,0.0,0,40,48.0,0,75,0.0
98,2011-02-01,15.0,AK,0.0,34.0,17.0,51.0,72.0,86.0,79.0,60.0,41.0,11.0,68,28.0,0.0,29.0,96.0,58.0,49.0,0.0,18,33,36.0,5,54,34.0
99,2011-03-01,26.0,AK,46.0,16.0,31.0,47.0,0.0,92.0,85.0,0.0,55.0,15.0,34,26.0,5.0,42.0,86.0,35.0,56.0,0.0,0,33,33.0,5,44,94.0
100,2011-04-01,41.0,AK,16.0,0.0,16.0,0.0,0.0,83.0,84.0,56.0,35.0,20.0,6,0.0,0.0,59.0,89.0,54.0,34.0,0.0,0,37,40.0,0,45,32.0
101,2011-05-01,42.0,AK,0.0,0.0,17.0,0.0,0.0,68.0,96.0,29.0,33.0,21.0,42,82.0,0.0,28.0,62.0,18.0,36.0,0.0,0,40,31.0,0,55,0.0
102,2011-06-01,42.0,AK,33.0,17.0,0.0,50.0,0.0,87.0,86.0,29.0,52.0,36.0,18,27.0,0.0,28.0,30.0,19.0,36.0,0.0,0,46,59.0,0,60,0.0
103,2011-07-01,14.0,AK,100.0,0.0,0.0,0.0,71.0,76.0,91.0,30.0,37.0,32.0,37,56.0,0.0,34.0,47.0,38.0,48.0,0.0,0,41,71.0,0,61,0.0
104,2011-08-01,46.0,AK,15.0,0.0,16.0,0.0,0.0,76.0,98.0,55.0,46.0,29.0,23,0.0,0.0,52.0,72.0,70.0,33.0,0.0,0,48,32.0,0,65,31.0
105,2011-09-01,39.0,AK,30.0,15.0,31.0,0.0,0.0,81.0,85.0,0.0,33.0,29.0,11,51.0,0.0,31.0,100.0,0.0,33.0,0.0,0,33,49.0,10,43,31.0
106,2011-10-01,100.0,AK,29.0,0.0,59.0,0.0,0.0,100.0,100.0,26.0,41.0,28.0,16,0.0,0.0,55.0,14.0,66.0,32.0,0.0,16,39,37.0,5,64,30.0
107,2011-11-01,56.0,AK,58.0,0.0,59.0,0.0,0.0,83.0,71.0,0.0,72.0,55.0,16,0.0,0.0,20.0,68.0,16.0,32.0,0.0,16,45,31.0,0,49,59.0
108,2011-12-01,68.0,AK,29.0,29.0,15.0,44.0,0.0,89.0,76.0,51.0,69.0,36.0,27,73.0,0.0,45.0,40.0,16.0,32.0,0.0,0,50,43.0,0,55,0.0
109,2012-01-01,49.0,AK,51.0,0.0,13.0,0.0,0.0,73.0,82.0,45.0,41.0,8.0,23,21.0,0.0,66.0,47.0,14.0,28.0,0.0,0,46,19.0,4,74,0.0
