fips,state,year,month,civ_pop,civ_pop_working_age,percent_working_age,employed,percent_employed,unemployed,unemployment_rate,date,v1,spidersolitaire,blooddrive,brownierecipe,xbox,linkedin,candycrush,omegle,harvard,jobsnearme,pornhub,googleflights,google_unemployment,resumetemplate,stname,_merge
47,Tennessee,2013,6,5059834,3077449,60.8,2834469,56,242980,7.9,01jun2013,4103,42,21,71,80,83,85,84,35,0,75,15,51,29,Tennessee,matched (3)
48,Texas,2013,6,19665096,12866183,65.40000000000001,12052275,61.3,813908,6.3,01jun2013,4200,55,26,67,77,79,94,88,54,1,89,10,56,66,Texas,matched (3)
49,Utah,2013,6,2060728,1405140,68.2,1340161,65,64979,4.6,01jun2013,4297,64,21,17,73,84,80,97,48,0,80,8,46,7,Utah,matched (3)
50,Vermont,2013,6,512382,350450,68.40000000000001,334828,65.3,15622,4.5,01jun2013,4394,48,0,70,56,41,54,56,43,0,58,5,50,15,Vermont,matched (3)
51,Virginia,2013,6,6377143,4240390,66.5,3997692,62.7,242698,5.7,01jun2013,4491,43,33,96,74,82,81,98,66,0,84,7,62,66,Virginia,matched (3)
53,Washington,2013,6,5433842,3463764,63.7,3219285,59.2,244479,7.1,01jun2013,4588,53,26,93,66,76,86,76,55,1,75,10,58,44,Washington,matched (3)
54,West Virginia,2013,6,1486271,798464,53.7,745717,50.2,52747,6.6,01jun2013,4685,24,34,100,81,60,77,78,12,6,64,11,57,19,West Virginia,matched (3)
55,Wisconsin,2013,6,4502451,3081531,68.40000000000001,2873381,63.8,208150,6.8,01jun2013,4782,64,19,69,70,69,86,77,47,0,74,6,42,62,Wisconsin,matched (3)
56,Wyoming,2013,6,448377,306561,68.40000000000001,292274,65.2,14287,4.7,01jun2013,4879,0,0,0,60,54,77,73,12,0,69,21,48,,Wyoming,matched (3)
1,Alabama,2014,6,3780367,2159591,57.1,2011006,53.2,148585,6.9,01jun2014,41,64,0,100,66,81,27,76,53,2,68,7,49,35,Alabama,matched (3)
2,Alaska,2014,6,539558,365994,67.8,340451,63.1,25543,7,01jun2014,138,13,0,48,52,81,20,46,19,0,69,5,28,81,Alaska,matched (3)
4,Arizona,2014,6,5170910,3092241,59.8,2882391,55.7,209850,6.8,01jun2014,235,54,23,33,66,75,38,67,54,1,74,24,54,30,Arizona,matched (3)
5,Arkansas,2014,6,2285110,1313710,57.5,1234973,54,78737,6,01jun2014,332,40,0,0,64,90,25,62,49,6,74,17,75,30,Arkansas,matched (3)
6,California,2014,6,29958666,18693090,62.4,17284748,57.7,1408342,7.5,01jun2014,429,81,43,55,57,83,35,77,69,4,83,19,66,85,California,matched (3)
8,Colorado,2014,6,4134706,2801950,67.8,2662096,64.40000000000001,139854,5,01jun2014,526,46,29,96,54,76,30,74,70,3,81,17,34,50,Colorado,matched (3)
9,Connecticut,2014,6,2866198,1885754,65.8,1761165,61.4,124589,6.6,01jun2014,623,71,38,29,46,79,39,67,50,0,74,17,41,44,Connecticut,matched (3)
10,Delaware,2014,6,736011,451889,61.4,425554,57.8,26335,5.8,01jun2014,817,95,0,22,51,87,27,43,77,4,75,9,38,15,Delaware,matched (3)
11,District of Columbia,2014,6,546114,378259,69.3,348819,63.9,29440,7.8,01jun2014,720,100,0,41,26,81,16,49,82,0,43,14,41,10,District of Columbia,matched (3)
12,Florida,2014,6,15920603,9566095,60.1,8960512,56.3,605583,6.3,01jun2014,914,55,28,61,61,82,35,66,68,4,76,13,55,57,Florida,matched (3)
13,Georgia,2014,6,7643905,4736889,62,4393203,57.5,343686,7.3,01jun2014,1011,42,38,24,58,76,28,69,59,3,76,15,62,69,Georgia,matched (3)
15,Hawaii,2014,6,1079178,665525,61.7,636257,59,29268,4.4,01jun2014,1108,33,26,14,60,77,17,56,40,6,99,21,59,31,Hawaii,matched (3)
16,Idaho,2014,6,1224536,779297,63.6,741596,60.6,37701,4.8,01jun2014,1205,65,0,15,65,62,34,51,29,4,67,22,33,34,Idaho,matched (3)
17,Illinois,2014,6,10049054,6507901,64.8,6046821,60.2,461080,7.1,01jun2014,1302,57,18,41,51,89,36,71,66,7,77,19,51,57,Illinois,matched (3)
18,Indiana,2014,6,5090793,3222954,63.3,3029273,59.5,193681,6,01jun2014,1399,56,20,52,57,85,37,70,49,5,66,35,26,53,Indiana,matched (3)
19,Iowa,2014,6,2418394,1701958,70.40000000000001,1629585,67.40000000000001,72373,4.3,01jun2014,1496,73,36,56,58,96,37,52,22,2,68,8,51,22,Iowa,matched (3)
20,Kansas,2014,6,2192599,1493654,68.09999999999999,1425540,65,68114,4.6,01jun2014,1593,33,55,20,59,53,32,56,36,3,89,23,40,51,Kansas,matched (3)
21,Kentucky,2014,6,3424418,2006638,58.6,1875888,54.8,130750,6.5,01jun2014,1690,36,64,80,58,68,38,74,42,1,69,14,36,22,Kentucky,matched (3)
22,Louisiana,2014,6,3543697,2146419,60.6,2010981,56.7,135438,6.3,01jun2014,1787,27,0,60,62,69,21,55,53,6,68,24,58,38,Louisiana,matched (3)
23,Maine,2014,6,1088649,696914,64,657472,60.4,39442,5.7,01jun2014,1884,53,26,17,49,93,44,54,75,14,63,35,26,0,Maine,matched (3)
