date,ebay,State
2016-09-11,51,AR
2016-09-18,58,AR
2016-09-25,54,AR
2016-10-02,52,AR
2016-10-09,62,AR
2016-10-16,53,AR
2016-10-23,58,AR
2016-10-30,55,AR
2016-11-06,57,AR
2016-11-13,57,AR
2016-11-20,77,AR
2016-11-27,74,AR
2016-12-04,69,AR
2016-12-11,73,AR
2016-12-18,61,AR
2016-12-25,63,AR
2017-01-01,65,AR
2017-01-08,52,AR
2017-01-15,56,AR
2017-01-22,56,AR
2017-01-29,47,AR
2017-02-05,57,AR
2017-02-12,49,AR
2017-02-19,51,AR
2017-02-26,67,AR
2017-03-05,61,AR
2017-03-12,57,AR
2017-03-19,59,AR
2017-03-26,57,AR
2017-04-02,60,AR
2017-04-09,47,AR
2017-04-16,52,AR
2017-04-23,59,AR
2017-04-30,53,AR
2017-05-07,55,AR
2017-05-14,58,AR
2017-05-21,60,AR
2017-05-28,71,AR
2017-06-04,55,AR
2017-06-11,59,AR
2017-06-18,62,AR
2017-06-25,60,AR
2017-07-02,55,AR
2017-07-09,65,AR
2017-07-16,62,AR
2017-07-23,63,AR
2017-07-30,77,AR
2017-08-06,71,AR
2017-08-13,58,AR
2017-08-20,59,AR
2017-08-27,50,AR
2017-09-03,55,AR
2017-09-10,55,AR
2017-09-17,47,AR
2017-09-24,49,AR
2017-10-01,53,AR
2017-10-08,54,AR
2017-10-15,52,AR
2017-10-22,58,AR
2017-10-29,52,AR
2017-11-05,48,AR
2017-11-12,59,AR
2017-11-19,52,AR
2017-11-26,62,AR
2017-12-03,56,AR
2017-12-10,68,AR
2017-12-17,65,AR
2017-12-24,61,AR
2017-12-31,55,AR
2018-01-07,49,AR
2018-01-14,57,AR
2018-01-21,53,AR
2018-01-28,51,AR
2018-02-04,48,AR
2018-02-11,42,AR
2018-02-18,53,AR
2018-02-25,46,AR
2018-03-04,52,AR
2018-03-11,48,AR
2018-03-18,53,AR
2018-03-25,44,AR
2018-04-01,49,AR
2018-04-08,52,AR
2018-04-15,49,AR
2018-04-22,49,AR
2018-04-29,44,AR
2018-05-06,54,AR
2018-05-13,43,AR
2018-05-20,51,AR
2018-05-27,54,AR
2018-06-03,48,AR
2018-06-10,50,AR
2018-06-17,51,AR
2018-06-24,43,AR
2018-07-01,53,AR
2018-07-08,49,AR
2018-07-15,51,AR
2018-07-22,57,AR
2018-07-29,54,AR
2018-08-05,46,AR
2018-08-12,52,AR
2018-08-19,43,AR
2018-08-26,47,AR
2018-09-02,50,AR
2018-09-09,42,AR
2018-09-16,42,AR
2018-09-23,50,AR
2018-09-30,45,AR
2018-10-07,38,AR
2018-10-14,44,AR
2018-10-21,37,AR
2018-10-28,41,AR
2018-11-04,45,AR
2018-11-11,46,AR
2018-11-18,51,AR
2018-11-25,47,AR
2018-12-02,48,AR
2018-12-09,44,AR
2018-12-16,49,AR
2018-12-23,51,AR
2018-12-30,46,AR
2015-01-04,97,CA
2015-01-11,97,CA
2015-01-18,100,CA
2015-01-25,95,CA
2015-02-01,94,CA
2015-02-08,98,CA
2015-02-15,98,CA
2015-02-22,96,CA
2015-03-01,98,CA
2015-03-08,92,CA
2015-03-15,93,CA
2015-03-22,98,CA
2015-03-29,94,CA
2015-04-05,96,CA
2015-04-12,89,CA
2015-04-19,98,CA
2015-04-26,93,CA
2015-05-03,91,CA
2015-05-10,89,CA
2015-05-17,92,CA
2015-05-24,92,CA
2015-05-31,95,CA
2015-06-07,91,CA
2015-06-14,96,CA
2015-06-21,94,CA
2015-06-28,91,CA
2015-07-05,91,CA
2015-07-12,91,CA
2015-07-19,93,CA
2015-07-26,93,CA
2015-08-02,94,CA
2015-08-09,93,CA
2015-08-16,93,CA
2015-08-23,91,CA
2015-08-30,86,CA
2015-09-06,87,CA
2015-09-13,82,CA
2015-09-20,87,CA
2015-09-27,89,CA
2015-10-04,86,CA
2015-10-11,89,CA
2015-10-18,88,CA
2015-10-25,86,CA
2015-11-01,90,CA
2015-11-08,90,CA
2015-11-15,84,CA
2015-11-22,97,CA
2015-11-29,94,CA
2015-12-06,92,CA
2015-12-13,89,CA
2015-12-20,89,CA
2015-12-27,90,CA
2016-01-03,84,CA
2016-01-10,78,CA
