,flights,date,bus,state
99,33.82096124691445,2012-04-01,39.36759889140843,AL
100,40.585153496297345,2012-05-01,31.49407911312674,AL
101,51.40786109530997,2012-06-01,36.743092298647866,AL
102,40.585153496297345,2012-07-01,39.36759889140843,AL
103,40.585153496297345,2012-08-01,39.36759889140843,AL
104,41.93799194617392,2012-09-01,32.80633240950702,AL
105,28.409607447408142,2012-10-01,43.30435878054927,AL
106,33.82096124691445,2012-11-01,40.679852187788704,AL
107,40.585153496297345,2012-12-01,47.24111866969011,AL
108,41.93799194617392,2013-01-01,52.49013185521124,AL
109,43.2908303960505,2013-02-01,43.30435878054927,AL
110,40.585153496297345,2013-03-01,38.05534559502814,AL
111,40.585153496297345,2013-04-01,35.43083900226758,AL
112,43.2908303960505,2013-05-01,41.99210548416899,AL
113,51.40786109530997,2013-06-01,35.43083900226758,AL
