date,indeed,isPartial,State
2016-03-13,17,False,AK
2016-03-20,59,False,AK
2016-03-27,25,False,AK
2016-04-03,41,False,AK
2016-04-10,33,False,AK
2016-04-17,0,False,AK
2016-04-24,65,False,AK
2016-05-01,25,False,AK
2016-05-08,17,False,AK
2016-05-15,78,False,AK
2016-05-22,35,False,AK
2016-05-29,27,False,AK
2016-06-05,35,False,AK
2016-06-12,35,False,AK
2016-06-19,25,False,AK
2016-06-26,51,False,AK
2016-07-03,78,False,AK
2016-07-10,33,False,AK
2016-07-17,33,False,AK
2016-07-24,57,False,AK
2016-07-31,17,False,AK
2016-08-07,42,False,AK
2016-08-14,36,False,AK
2016-08-21,34,False,AK
2016-08-28,68,False,AK
2016-09-04,16,False,AK
2016-09-11,48,False,AK
2016-09-18,48,False,AK
2016-09-25,25,False,AK
2016-10-02,32,False,AK
2016-10-09,41,False,AK
2016-10-16,51,False,AK
2016-10-23,17,False,AK
2016-10-30,17,False,AK
2016-11-06,48,False,AK
2016-11-13,25,False,AK
2016-11-20,35,False,AK
2016-11-27,24,False,AK
2016-12-04,47,False,AK
2016-12-11,8,False,AK
2016-12-18,17,False,AK
2016-12-25,26,False,AK
2017-01-01,44,False,AK
2017-01-08,33,False,AK
2017-01-15,40,False,AK
2017-01-22,16,False,AK
2017-01-29,64,False,AK
2017-02-05,32,False,AK
2017-02-12,78,False,AK
2017-02-19,62,False,AK
2017-02-26,45,False,AK
2017-03-05,38,False,AK
2017-03-12,71,False,AK
2017-03-19,62,False,AK
2017-03-26,45,False,AK
2017-04-02,70,False,AK
2017-04-09,48,False,AK
2017-04-16,48,False,AK
2017-04-23,39,False,AK
2017-04-30,63,False,AK
2017-05-07,82,False,AK
2017-05-14,26,False,AK
2017-05-21,44,False,AK
2017-05-28,37,False,AK
2017-06-04,35,False,AK
2017-06-11,72,False,AK
2017-06-18,67,False,AK
2017-06-25,71,False,AK
2017-07-02,54,False,AK
2017-07-09,70,False,AK
2017-07-16,26,False,AK
2017-07-23,85,False,AK
2017-07-30,84,False,AK
2017-08-06,41,False,AK
2017-08-13,57,False,AK
2017-08-20,56,False,AK
2017-08-27,57,False,AK
2017-09-03,16,False,AK
2017-09-10,56,False,AK
2017-09-17,40,False,AK
2017-09-24,74,False,AK
2017-10-01,56,False,AK
2017-10-08,57,False,AK
2017-10-15,25,False,AK
2017-10-22,33,False,AK
2017-10-29,100,False,AK
2017-11-05,57,False,AK
2017-11-12,24,False,AK
2017-11-19,25,False,AK
2017-11-26,39,False,AK
2017-12-03,77,False,AK
2017-12-10,31,False,AK
2017-12-17,59,False,AK
2017-12-24,27,False,AK
2017-12-31,59,False,AK
2018-01-07,48,False,AK
2018-01-14,39,False,AK
2018-01-21,45,False,AK
2018-01-28,54,False,AK
2018-02-04,38,False,AK
2018-02-11,38,False,AK
2018-02-18,45,False,AK
2018-02-25,30,False,AK
2018-03-04,76,False,AK
2018-03-11,31,False,AK
2018-03-18,23,False,AK
2018-03-25,69,False,AK
2018-04-01,47,False,AK
2018-04-08,39,False,AK
2018-04-15,70,False,AK
2018-04-22,77,False,AK
2018-04-29,31,False,AK
2018-05-06,46,False,AK
2018-05-13,48,False,AK
2018-05-20,33,False,AK
2018-05-27,34,False,AK
2018-06-03,75,False,AK
2018-06-10,39,False,AK
2018-06-17,62,False,AK
2018-06-24,39,False,AK
2018-07-01,75,False,AK
2018-07-08,45,False,AK
2018-07-15,39,False,AK
2018-07-22,39,False,AK
2018-07-29,53,False,AK
2018-08-05,91,False,AK
2018-08-12,39,False,AK
2018-08-19,80,False,AK
2018-08-26,81,False,AK
2018-09-02,74,False,AK
2018-09-09,24,False,AK
2018-09-16,32,False,AK
2018-09-23,89,False,AK
2018-09-30,64,False,AK
2018-10-07,33,False,AK
2018-10-14,69,False,AK
2018-10-21,60,False,AK
2018-10-28,63,False,AK
2018-11-04,46,False,AK
2018-11-11,59,False,AK
2018-11-18,25,False,AK
2018-11-25,47,False,AK
2018-12-02,49,False,AK
2018-12-09,42,False,AK
2018-12-16,25,False,AK
2018-12-23,56,False,AK
2018-12-30,53,False,AK
2015-01-04,54,False,AZ
2015-01-11,56,False,AZ
2015-01-18,50,False,AZ
2015-01-25,61,False,AZ
2015-02-01,55,False,AZ
