date,jobs,isPartial,State
2018-01-01,75,False,CO
2018-02-01,65,False,CO
2018-03-01,70,False,CO
2018-04-01,69,False,CO
2018-05-01,68,False,CO
2018-06-01,71,False,CO
2018-07-01,71,False,CO
2018-08-01,73,False,CO
2018-09-01,68,False,CO
2018-10-01,67,False,CO
2018-11-01,62,False,CO
2018-12-01,58,False,CO
2019-01-01,80,False,CO
2011-01-01,66,False,CT
2011-02-01,62,False,CT
2011-03-01,63,False,CT
2011-04-01,63,False,CT
2011-05-01,69,False,CT
2011-06-01,68,False,CT
2011-07-01,67,False,CT
2011-08-01,68,False,CT
2011-09-01,62,False,CT
2011-10-01,100,False,CT
2011-11-01,57,False,CT
2011-12-01,50,False,CT
2012-01-01,66,False,CT
2012-02-01,60,False,CT
2012-03-01,62,False,CT
2012-04-01,63,False,CT
2012-05-01,65,False,CT
2012-06-01,62,False,CT
2012-07-01,62,False,CT
2012-08-01,65,False,CT
2012-09-01,63,False,CT
2012-10-01,59,False,CT
2012-11-01,54,False,CT
2012-12-01,38,False,CT
2013-01-01,57,False,CT
2013-02-01,54,False,CT
2013-03-01,57,False,CT
2013-04-01,60,False,CT
2013-05-01,63,False,CT
2013-06-01,60,False,CT
2013-07-01,65,False,CT
2013-08-01,66,False,CT
2013-09-01,64,False,CT
2013-10-01,58,False,CT
2013-11-01,54,False,CT
2013-12-01,49,False,CT
2014-01-01,66,False,CT
2014-02-01,62,False,CT
2014-03-01,64,False,CT
2014-04-01,65,False,CT
2014-05-01,50,False,CT
2014-06-01,60,False,CT
2014-07-01,69,False,CT
2014-08-01,64,False,CT
2014-09-01,60,False,CT
2014-10-01,59,False,CT
2014-11-01,51,False,CT
2014-12-01,47,False,CT
2015-01-01,58,False,CT
2015-02-01,51,False,CT
2015-03-01,61,False,CT
2015-04-01,60,False,CT
2015-05-01,59,False,CT
2015-06-01,61,False,CT
2015-07-01,59,False,CT
2015-08-01,61,False,CT
2015-09-01,59,False,CT
2015-10-01,54,False,CT
2015-11-01,51,False,CT
2015-12-01,49,False,CT
2016-01-01,60,False,CT
2016-02-01,54,False,CT
2016-03-01,57,False,CT
2016-04-01,57,False,CT
2016-05-01,62,False,CT
2016-06-01,59,False,CT
2016-07-01,55,False,CT
2016-08-01,60,False,CT
2016-09-01,53,False,CT
2016-10-01,51,False,CT
2016-11-01,47,False,CT
2016-12-01,47,False,CT
2017-01-01,60,False,CT
2017-02-01,52,False,CT
2017-03-01,55,False,CT
2017-04-01,53,False,CT
2017-05-01,55,False,CT
2017-06-01,54,False,CT
2017-07-01,54,False,CT
2017-08-01,62,False,CT
2017-09-01,56,False,CT
2017-10-01,55,False,CT
2017-11-01,52,False,CT
2017-12-01,47,False,CT
2018-01-01,61,False,CT
2018-02-01,58,False,CT
2018-03-01,53,False,CT
2018-04-01,57,False,CT
2018-05-01,57,False,CT
2018-06-01,58,False,CT
2018-07-01,60,False,CT
2018-08-01,61,False,CT
2018-09-01,59,False,CT
2018-10-01,56,False,CT
2018-11-01,52,False,CT
