date,resume,isPartial,State
2016-12-25,15,False,AK
2017-01-01,37,False,AK
2017-01-08,42,False,AK
2017-01-15,21,False,AK
2017-01-22,14,False,AK
2017-01-29,48,False,AK
2017-02-05,20,False,AK
2017-02-12,13,False,AK
2017-02-19,34,False,AK
2017-02-26,25,False,AK
2017-03-05,20,False,AK
2017-03-12,34,False,AK
2017-03-19,33,False,AK
2017-03-26,65,False,AK
2017-04-02,33,False,AK
2017-04-09,20,False,AK
2017-04-16,41,False,AK
2017-04-23,40,False,AK
2017-04-30,20,False,AK
2017-05-07,41,False,AK
2017-05-14,15,False,AK
2017-05-21,15,False,AK
2017-05-28,32,False,AK
2017-06-04,30,False,AK
2017-06-11,8,False,AK
2017-06-18,15,False,AK
2017-06-25,15,False,AK
2017-07-02,0,False,AK
2017-07-09,30,False,AK
2017-07-16,30,False,AK
2017-07-23,29,False,AK
2017-07-30,28,False,AK
2017-08-06,14,False,AK
2017-08-13,27,False,AK
2017-08-20,27,False,AK
2017-08-27,21,False,AK
2017-09-03,41,False,AK
2017-09-10,20,False,AK
2017-09-17,62,False,AK
2017-09-24,42,False,AK
2017-10-01,0,False,AK
2017-10-08,14,False,AK
2017-10-15,7,False,AK
2017-10-22,21,False,AK
2017-10-29,36,False,AK
2017-11-05,28,False,AK
2017-11-12,7,False,AK
2017-11-19,35,False,AK
2017-11-26,26,False,AK
2017-12-03,13,False,AK
2017-12-10,60,False,AK
2017-12-17,22,False,AK
2017-12-24,23,False,AK
2017-12-31,15,False,AK
2018-01-07,41,False,AK
2018-01-14,60,False,AK
2018-01-21,26,False,AK
2018-01-28,53,False,AK
2018-02-04,72,False,AK
2018-02-11,26,False,AK
2018-02-18,33,False,AK
2018-02-25,32,False,AK
2018-03-04,26,False,AK
2018-03-11,0,False,AK
2018-03-18,13,False,AK
2018-03-25,60,False,AK
2018-04-01,33,False,AK
2018-04-08,20,False,AK
2018-04-15,47,False,AK
2018-04-22,33,False,AK
2018-04-29,13,False,AK
2018-05-06,33,False,AK
2018-05-13,14,False,AK
2018-05-20,42,False,AK
2018-05-27,21,False,AK
2018-06-03,21,False,AK
2018-06-10,33,False,AK
2018-06-17,7,False,AK
2018-06-24,13,False,AK
2018-07-01,21,False,AK
2018-07-08,19,False,AK
2018-07-15,41,False,AK
2018-07-22,34,False,AK
2018-07-29,19,False,AK
2018-08-05,33,False,AK
2018-08-12,27,False,AK
2018-08-19,13,False,AK
2018-08-26,35,False,AK
2018-09-02,14,False,AK
2018-09-09,20,False,AK
2018-09-16,20,False,AK
2018-09-23,21,False,AK
2018-09-30,27,False,AK
2018-10-07,7,False,AK
2018-10-14,14,False,AK
2018-10-21,32,False,AK
2018-10-28,32,False,AK
2018-11-04,28,False,AK
2018-11-11,21,False,AK
2018-11-18,15,False,AK
2018-11-25,0,False,AK
2018-12-02,49,False,AK
2018-12-09,21,False,AK
2018-12-16,14,False,AK
2018-12-23,8,False,AK
2018-12-30,46,False,AK
2015-01-04,73,False,AZ
2015-01-11,90,False,AZ
2015-01-18,56,False,AZ
2015-01-25,84,False,AZ
2015-02-01,50,False,AZ
2015-02-08,68,False,AZ
2015-02-15,76,False,AZ
2015-02-22,82,False,AZ
2015-03-01,71,False,AZ
2015-03-08,64,False,AZ
2015-03-15,95,False,AZ
2015-03-22,75,False,AZ
2015-03-29,56,False,AZ
2015-04-05,74,False,AZ
2015-04-12,80,False,AZ
2015-04-19,88,False,AZ
2015-04-26,66,False,AZ
2015-05-03,71,False,AZ
2015-05-10,86,False,AZ
2015-05-17,70,False,AZ
2015-05-24,82,False,AZ
2015-05-31,58,False,AZ
2015-06-07,84,False,AZ
2015-06-14,62,False,AZ
2015-06-21,74,False,AZ
2015-06-28,78,False,AZ
2015-07-05,100,False,AZ
2015-07-12,69,False,AZ
