date,unemployment,State
2016-10-30,32,AZ
2016-11-06,49,AZ
2016-11-13,61,AZ
2016-11-20,55,AZ
2016-11-27,54,AZ
2016-12-04,57,AZ
2016-12-11,55,AZ
2016-12-18,42,AZ
2016-12-25,63,AZ
2017-01-01,57,AZ
2017-01-08,45,AZ
2017-01-15,55,AZ
2017-01-22,58,AZ
2017-01-29,61,AZ
2017-02-05,51,AZ
2017-02-12,60,AZ
2017-02-19,47,AZ
2017-02-26,54,AZ
2017-03-05,38,AZ
2017-03-12,58,AZ
2017-03-19,82,AZ
2017-03-26,58,AZ
2017-04-02,58,AZ
2017-04-09,61,AZ
2017-04-16,63,AZ
2017-04-23,54,AZ
2017-04-30,59,AZ
2017-05-07,49,AZ
2017-05-14,42,AZ
2017-05-21,55,AZ
2017-05-28,41,AZ
2017-06-04,51,AZ
2017-06-11,69,AZ
2017-06-18,42,AZ
2017-06-25,45,AZ
2017-07-02,39,AZ
2017-07-09,47,AZ
2017-07-16,54,AZ
2017-07-23,39,AZ
2017-07-30,64,AZ
2017-08-06,54,AZ
2017-08-13,31,AZ
2017-08-20,48,AZ
2017-08-27,47,AZ
2017-09-03,31,AZ
2017-09-10,48,AZ
2017-09-17,48,AZ
2017-09-24,60,AZ
2017-10-01,43,AZ
2017-10-08,38,AZ
2017-10-15,71,AZ
2017-10-22,48,AZ
2017-10-29,61,AZ
2017-11-05,42,AZ
2017-11-12,57,AZ
2017-11-19,40,AZ
2017-11-26,56,AZ
2017-12-03,57,AZ
2017-12-10,51,AZ
2017-12-17,49,AZ
2017-12-24,51,AZ
2017-12-31,45,AZ
2018-01-07,49,AZ
2018-01-14,55,AZ
2018-01-21,55,AZ
2018-01-28,77,AZ
2018-02-04,54,AZ
2018-02-11,45,AZ
2018-02-18,48,AZ
2018-02-25,40,AZ
2018-03-04,47,AZ
2018-03-11,49,AZ
2018-03-18,55,AZ
2018-03-25,56,AZ
2018-04-01,53,AZ
2018-04-08,56,AZ
2018-04-15,59,AZ
2018-04-22,58,AZ
2018-04-29,64,AZ
2018-05-06,47,AZ
2018-05-13,66,AZ
2018-05-20,42,AZ
2018-05-27,63,AZ
2018-06-03,49,AZ
2018-06-10,59,AZ
2018-06-17,68,AZ
2018-06-24,49,AZ
2018-07-01,50,AZ
2018-07-08,32,AZ
2018-07-15,60,AZ
2018-07-22,59,AZ
2018-07-29,58,AZ
2018-08-05,63,AZ
2018-08-12,47,AZ
2018-08-19,49,AZ
2018-08-26,42,AZ
2018-09-02,48,AZ
2018-09-09,46,AZ
2018-09-16,36,AZ
2018-09-23,48,AZ
2018-09-30,45,AZ
2018-10-07,44,AZ
2018-10-14,59,AZ
2018-10-21,72,AZ
2018-10-28,62,AZ
2018-11-04,56,AZ
2018-11-11,53,AZ
2018-11-18,45,AZ
2018-11-25,51,AZ
2018-12-02,51,AZ
2018-12-09,45,AZ
2018-12-16,36,AZ
2018-12-23,54,AZ
2018-12-30,50,AZ
2015-01-04,72,AR
2015-01-11,57,AR
2015-01-18,41,AR
2015-01-25,58,AR
2015-02-01,57,AR
2015-02-08,76,AR
2015-02-15,86,AR
2015-02-22,57,AR
2015-03-01,40,AR
2015-03-08,54,AR
2015-03-15,74,AR
2015-03-22,47,AR
2015-03-29,50,AR
2015-04-05,36,AR
2015-04-12,60,AR
2015-04-19,18,AR
2015-04-26,43,AR
2015-05-03,25,AR
2015-05-10,32,AR
2015-05-17,51,AR
2015-05-24,39,AR
2015-05-31,41,AR
2015-06-07,35,AR
2015-06-14,27,AR
2015-06-21,55,AR
2015-06-28,57,AR
2015-07-05,27,AR
2015-07-12,28,AR
2015-07-19,49,AR
2015-07-26,56,AR
2015-08-02,42,AR
2015-08-09,70,AR
2015-08-16,53,AR
2015-08-23,24,AR
2015-08-30,41,AR
2015-09-06,43,AR
2015-09-13,18,AR
2015-09-20,41,AR
2015-09-27,18,AR
2015-10-04,64,AR
2015-10-11,54,AR
2015-10-18,27,AR
2015-10-25,38,AR
2015-11-01,71,AR
2015-11-08,44,AR
2015-11-15,54,AR
2015-11-22,50,AR
2015-11-29,100,AR
2015-12-06,43,AR
2015-12-13,87,AR
2015-12-20,39,AR
2015-12-27,82,AR
2016-01-03,68,AR
2016-01-10,61,AR
2016-01-17,38,AR
2016-01-24,45,AR
2016-01-31,33,AR
2016-02-07,29,AR
2016-02-14,51,AR
2016-02-21,53,AR
2016-02-28,58,AR
2016-03-06,31,AR
2016-03-13,29,AR
2016-03-20,47,AR
2016-03-27,46,AR
2016-04-03,44,AR
2016-04-10,46,AR
2016-04-17,45,AR
2016-04-24,29,AR
2016-05-01,56,AR
2016-05-08,56,AR
2016-05-15,46,AR
2016-05-22,43,AR
2016-05-29,40,AR
2016-06-05,45,AR
2016-06-12,36,AR
2016-06-19,33,AR
2016-06-26,59,AR
2016-07-03,34,AR
2016-07-10,45,AR
2016-07-17,44,AR
2016-07-24,45,AR
2016-07-31,41,AR
2016-08-07,17,AR
2016-08-14,8,AR
2016-08-21,46,AR
2016-08-28,36,AR
2016-09-04,54,AR
2016-09-11,49,AR
2016-09-18,33,AR
2016-09-25,25,AR
2016-10-02,71,AR
2016-10-09,34,AR
2016-10-16,28,AR
2016-10-23,46,AR
2016-10-30,37,AR
2016-11-06,56,AR
2016-11-13,45,AR
2016-11-20,27,AR
2016-11-27,52,AR
2016-12-04,44,AR
2016-12-11,36,AR
2016-12-18,13,AR
2016-12-25,49,AR
2017-01-01,56,AR
2017-01-08,46,AR
2017-01-15,48,AR
2017-01-22,37,AR
2017-01-29,27,AR
2017-02-05,20,AR
2017-02-12,67,AR
2017-02-19,20,AR
2017-02-26,35,AR
2017-03-05,42,AR
2017-03-12,19,AR
2017-03-19,20,AR
2017-03-26,54,AR
2017-04-02,41,AR
2017-04-09,35,AR
2017-04-16,58,AR
2017-04-23,30,AR
2017-04-30,55,AR
2017-05-07,42,AR
2017-05-14,41,AR
2017-05-21,28,AR
2017-05-28,20,AR
2017-06-04,55,AR
2017-06-11,32,AR
2017-06-18,53,AR
2017-06-25,65,AR
2017-07-02,46,AR
2017-07-09,52,AR
2017-07-16,40,AR
2017-07-23,58,AR
2017-07-30,38,AR
2017-08-06,30,AR
2017-08-13,22,AR
2017-08-20,21,AR
2017-08-27,31,AR
2017-09-03,36,AR
2017-09-10,48,AR
2017-09-17,37,AR
2017-09-24,35,AR
2017-10-01,40,AR
2017-10-08,34,AR
2017-10-15,28,AR
2017-10-22,44,AR
2017-10-29,64,AR
2017-11-05,45,AR
2017-11-12,85,AR
2017-11-19,17,AR
2017-11-26,34,AR
2017-12-03,46,AR
2017-12-10,51,AR
2017-12-17,45,AR
2017-12-24,22,AR
2017-12-31,76,AR
2018-01-07,40,AR
2018-01-14,52,AR
2018-01-21,36,AR
2018-01-28,53,AR
2018-02-04,33,AR
2018-02-11,54,AR
2018-02-18,29,AR
2018-02-25,24,AR
2018-03-04,27,AR
2018-03-11,33,AR
2018-03-18,46,AR
2018-03-25,46,AR
2018-04-01,30,AR
2018-04-08,43,AR
2018-04-15,34,AR
2018-04-22,28,AR
2018-04-29,41,AR
2018-05-06,32,AR
2018-05-13,53,AR
2018-05-20,27,AR
2018-05-27,42,AR
2018-06-03,28,AR
2018-06-10,53,AR
2018-06-17,37,AR
2018-06-24,21,AR
2018-07-01,25,AR
2018-07-08,37,AR
2018-07-15,47,AR
2018-07-22,48,AR
2018-07-29,58,AR
2018-08-05,30,AR
2018-08-12,34,AR
2018-08-19,30,AR
2018-08-26,16,AR
2018-09-02,41,AR
2018-09-09,37,AR
2018-09-16,34,AR
2018-09-23,28,AR
2018-09-30,41,AR
2018-10-07,28,AR
2018-10-14,38,AR
2018-10-21,42,AR
2018-10-28,29,AR
2018-11-04,45,AR
2018-11-11,59,AR
2018-11-18,28,AR
2018-11-25,39,AR
2018-12-02,48,AR
2018-12-09,25,AR
2018-12-16,50,AR
2018-12-23,62,AR
2018-12-30,61,AR
2015-01-04,92,CA
2015-01-11,95,CA
2015-01-18,100,CA
2015-01-25,91,CA
2015-02-01,84,CA
2015-02-08,65,CA
2015-02-15,86,CA
2015-02-22,77,CA
2015-03-01,82,CA
2015-03-08,78,CA
2015-03-15,79,CA
2015-03-22,72,CA
2015-03-29,81,CA
2015-04-05,72,CA
2015-04-12,74,CA
2015-04-19,78,CA
2015-04-26,76,CA
2015-05-03,73,CA
2015-05-10,71,CA
2015-05-17,79,CA
2015-05-24,72,CA
2015-05-31,77,CA
2015-06-07,74,CA
2015-06-14,73,CA
2015-06-21,60,CA
2015-06-28,67,CA
2015-07-05,80,CA
2015-07-12,71,CA
2015-07-19,74,CA
2015-07-26,58,CA
2015-08-02,59,CA
2015-08-09,55,CA
2015-08-16,64,CA
2015-08-23,65,CA
2015-08-30,74,CA
2015-09-06,57,CA
2015-09-13,69,CA
2015-09-20,55,CA
2015-09-27,64,CA
2015-10-04,67,CA
2015-10-11,61,CA
2015-10-18,64,CA
2015-10-25,54,CA
2015-11-01,75,CA
2015-11-08,69,CA
2015-11-15,65,CA
2015-11-22,52,CA
2015-11-29,69,CA
2015-12-06,65,CA
2015-12-13,69,CA
2015-12-20,45,CA
2015-12-27,58,CA
2016-01-03,80,CA
2016-01-10,71,CA
2016-01-17,74,CA
2016-01-24,73,CA
2016-01-31,76,CA
2016-02-07,68,CA
2016-02-14,65,CA
2016-02-21,61,CA
2016-02-28,69,CA
2016-03-06,66,CA
2016-03-13,67,CA
2016-03-20,61,CA
2016-03-27,61,CA
2016-04-03,60,CA
2016-04-10,61,CA
2016-04-17,62,CA
2016-04-24,64,CA
2016-05-01,60,CA
2016-05-08,68,CA
2016-05-15,59,CA
2016-05-22,64,CA
2016-05-29,60,CA
2016-06-05,65,CA
2016-06-12,64,CA
2016-06-19,65,CA
2016-06-26,70,CA
2016-07-03,63,CA
2016-07-10,63,CA
