date,calvin klein,isPartial,State
2012-06-01,42,False,CA
2012-07-01,38,False,CA
2012-08-01,41,False,CA
2012-09-01,36,False,CA
2012-10-01,37,False,CA
2012-11-01,52,False,CA
2012-12-01,49,False,CA
2013-01-01,35,False,CA
2013-02-01,50,False,CA
2013-03-01,33,False,CA
2013-04-01,34,False,CA
2013-05-01,35,False,CA
2013-06-01,33,False,CA
2013-07-01,33,False,CA
2013-08-01,40,False,CA
2013-09-01,32,False,CA
2013-10-01,38,False,CA
2013-11-01,47,False,CA
2013-12-01,49,False,CA
2014-01-01,32,False,CA
2014-02-01,31,False,CA
2014-03-01,38,False,CA
2014-04-01,34,False,CA
2014-05-01,35,False,CA
2014-06-01,36,False,CA
2014-07-01,39,False,CA
2014-08-01,37,False,CA
2014-09-01,38,False,CA
2014-10-01,44,False,CA
2014-11-01,45,False,CA
2014-12-01,53,False,CA
2015-01-01,100,False,CA
2015-02-01,54,False,CA
2015-03-01,44,False,CA
2015-04-01,46,False,CA
2015-05-01,48,False,CA
2015-06-01,45,False,CA
2015-07-01,38,False,CA
2015-08-01,42,False,CA
2015-09-01,42,False,CA
2015-10-01,37,False,CA
2015-11-01,61,False,CA
2015-12-01,74,False,CA
2016-01-01,56,False,CA
2016-02-01,53,False,CA
2016-03-01,47,False,CA
2016-04-01,49,False,CA
2016-05-01,59,False,CA
2016-06-01,47,False,CA
2016-07-01,54,False,CA
2016-08-01,51,False,CA
2016-09-01,48,False,CA
2016-10-01,45,False,CA
2016-11-01,66,False,CA
2016-12-01,74,False,CA
2017-01-01,52,False,CA
2017-02-01,45,False,CA
2017-03-01,49,False,CA
2017-04-01,47,False,CA
2017-05-01,48,False,CA
2017-06-01,49,False,CA
2017-07-01,50,False,CA
2017-08-01,48,False,CA
2017-09-01,48,False,CA
2017-10-01,62,False,CA
2017-11-01,68,False,CA
2017-12-01,74,False,CA
2018-01-01,59,False,CA
2018-02-01,48,False,CA
2018-03-01,48,False,CA
2018-04-01,48,False,CA
2018-05-01,50,False,CA
2018-06-01,47,False,CA
2018-07-01,50,False,CA
2018-08-01,48,False,CA
2018-09-01,48,False,CA
2018-10-01,39,False,CA
2018-11-01,64,False,CA
2018-12-01,69,False,CA
2019-01-01,47,False,CA
2011-01-01,50,False,CO
2011-02-01,32,False,CO
2011-03-01,41,False,CO
2011-04-01,39,False,CO
2011-05-01,39,False,CO
2011-06-01,32,False,CO
2011-07-01,48,False,CO
2011-08-01,43,False,CO
2011-09-01,35,False,CO
2011-10-01,26,False,CO
2011-11-01,35,False,CO
2011-12-01,50,False,CO
2012-01-01,44,False,CO
2012-02-01,43,False,CO
2012-03-01,26,False,CO
2012-04-01,34,False,CO
2012-05-01,40,False,CO
2012-06-01,35,False,CO
2012-07-01,35,False,CO
2012-08-01,40,False,CO
2012-09-01,36,False,CO
2012-10-01,49,False,CO
2012-11-01,23,False,CO
2012-12-01,47,False,CO
2013-01-01,36,False,CO
2013-02-01,51,False,CO
2013-03-01,36,False,CO
2013-04-01,30,False,CO
2013-05-01,35,False,CO
2013-06-01,14,False,CO
2013-07-01,34,False,CO
2013-08-01,46,False,CO
2013-09-01,37,False,CO
2013-10-01,35,False,CO
2013-11-01,42,False,CO
2013-12-01,52,False,CO
2014-01-01,28,False,CO
2014-02-01,38,False,CO
2014-03-01,29,False,CO
2014-04-01,39,False,CO
2014-05-01,34,False,CO
2014-06-01,31,False,CO
2014-07-01,32,False,CO
2014-08-01,30,False,CO
2014-09-01,34,False,CO
2014-10-01,30,False,CO
2014-11-01,50,False,CO
2014-12-01,52,False,CO
2015-01-01,100,False,CO
2015-02-01,62,False,CO
2015-03-01,54,False,CO
2015-04-01,32,False,CO
2015-05-01,57,False,CO
2015-06-01,50,False,CO
2015-07-01,42,False,CO
2015-08-01,40,False,CO
2015-09-01,40,False,CO
2015-10-01,42,False,CO
2015-11-01,47,False,CO
2015-12-01,91,False,CO
2016-01-01,43,False,CO
2016-02-01,53,False,CO
2016-03-01,46,False,CO
2016-04-01,50,False,CO
2016-05-01,58,False,CO
2016-06-01,39,False,CO
2016-07-01,43,False,CO
2016-08-01,64,False,CO
2016-09-01,39,False,CO
2016-10-01,38,False,CO
2016-11-01,46,False,CO
2016-12-01,57,False,CO
2017-01-01,52,False,CO
2017-02-01,59,False,CO
2017-03-01,43,False,CO
2017-04-01,45,False,CO
2017-05-01,33,False,CO
2017-06-01,41,False,CO
2017-07-01,45,False,CO
2017-08-01,42,False,CO
2017-09-01,44,False,CO
2017-10-01,29,False,CO
2017-11-01,54,False,CO
2017-12-01,75,False,CO
2018-01-01,49,False,CO
2018-02-01,45,False,CO
2018-03-01,41,False,CO
2018-04-01,47,False,CO
2018-05-01,53,False,CO
2018-06-01,42,False,CO
2018-07-01,39,False,CO
2018-08-01,50,False,CO
2018-09-01,49,False,CO
2018-10-01,32,False,CO
2018-11-01,57,False,CO
2018-12-01,49,False,CO
2019-01-01,52,False,CO
2011-01-01,48,False,CT
2011-02-01,16,False,CT
2011-03-01,54,False,CT
2011-04-01,52,False,CT
2011-05-01,37,False,CT
2011-06-01,15,False,CT
2011-07-01,40,False,CT
2011-08-01,53,False,CT
2011-09-01,57,False,CT
2011-10-01,38,False,CT
2011-11-01,69,False,CT
2011-12-01,32,False,CT
2012-01-01,48,False,CT
2012-02-01,31,False,CT
2012-03-01,50,False,CT
2012-04-01,84,False,CT
2012-05-01,52,False,CT
2012-06-01,42,False,CT
2012-07-01,51,False,CT
2012-08-01,51,False,CT
2012-09-01,33,False,CT
2012-10-01,46,False,CT
2012-11-01,69,False,CT
2012-12-01,36,False,CT
2013-01-01,44,False,CT
2013-02-01,65,False,CT
2013-03-01,48,False,CT
2013-04-01,42,False,CT
2013-05-01,53,False,CT
2013-06-01,22,False,CT
2013-07-01,56,False,CT
2013-08-01,24,False,CT
2013-09-01,50,False,CT
2013-10-01,37,False,CT
2013-11-01,48,False,CT
2013-12-01,51,False,CT
2014-01-01,42,False,CT
2014-02-01,43,False,CT
2014-03-01,61,False,CT
2014-04-01,49,False,CT
2014-05-01,25,False,CT
2014-06-01,16,False,CT
2014-07-01,67,False,CT
2014-08-01,49,False,CT
2014-09-01,54,False,CT
2014-10-01,48,False,CT
2014-11-01,97,False,CT
2014-12-01,65,False,CT
2015-01-01,100,False,CT
2015-02-01,55,False,CT
2015-03-01,52,False,CT
2015-04-01,41,False,CT
2015-05-01,24,False,CT
2015-06-01,73,False,CT
2015-07-01,37,False,CT
2015-08-01,64,False,CT
2015-09-01,37,False,CT
2015-10-01,30,False,CT
2015-11-01,81,False,CT
2015-12-01,62,False,CT
2016-01-01,66,False,CT
2016-02-01,64,False,CT
2016-03-01,42,False,CT
2016-04-01,69,False,CT
2016-05-01,73,False,CT
2016-06-01,56,False,CT
2016-07-01,54,False,CT
2016-08-01,58,False,CT
2016-09-01,84,False,CT
2016-10-01,50,False,CT
2016-11-01,66,False,CT
2016-12-01,90,False,CT
2017-01-01,58,False,CT
2017-02-01,58,False,CT
2017-03-01,60,False,CT
2017-04-01,57,False,CT
2017-05-01,41,False,CT
2017-06-01,36,False,CT
2017-07-01,67,False,CT
2017-08-01,55,False,CT
2017-09-01,38,False,CT
2017-10-01,60,False,CT
2017-11-01,74,False,CT
2017-12-01,73,False,CT
2018-01-01,64,False,CT
2018-02-01,67,False,CT
2018-03-01,43,False,CT
2018-04-01,61,False,CT
2018-05-01,43,False,CT
2018-06-01,71,False,CT
2018-07-01,47,False,CT
2018-08-01,56,False,CT
2018-09-01,62,False,CT
2018-10-01,49,False,CT
2018-11-01,66,False,CT
2018-12-01,58,False,CT
2019-01-01,55,False,CT
2011-01-01,53,False,DC
2011-02-01,49,False,DC
2011-03-01,45,False,DC
2011-04-01,20,False,DC
2011-05-01,24,False,DC
2011-06-01,25,False,DC
2011-07-01,14,False,DC
2011-08-01,37,False,DC
2011-09-01,42,False,DC
2011-10-01,19,False,DC
2011-11-01,35,False,DC
2011-12-01,32,False,DC
2012-01-01,54,False,DC
2012-02-01,26,False,DC
2012-03-01,31,False,DC
2012-04-01,32,False,DC
2012-05-01,37,False,DC
2012-06-01,26,False,DC
2012-07-01,19,False,DC
2012-08-01,21,False,DC
2012-09-01,29,False,DC
2012-10-01,30,False,DC
2012-11-01,34,False,DC
2012-12-01,60,False,DC
2013-01-01,34,False,DC
2013-02-01,39,False,DC
2013-03-01,37,False,DC
2013-04-01,33,False,DC
2013-05-01,25,False,DC
2013-06-01,57,False,DC
2013-07-01,64,False,DC
2013-08-01,57,False,DC
2013-09-01,45,False,DC
2013-10-01,51,False,DC
2013-11-01,28,False,DC
2013-12-01,78,False,DC
2014-01-01,55,False,DC
2014-02-01,29,False,DC
2014-03-01,35,False,DC
2014-04-01,20,False,DC
2014-05-01,48,False,DC
2014-06-01,70,False,DC
2014-07-01,37,False,DC
2014-08-01,44,False,DC
2014-09-01,47,False,DC
2014-10-01,38,False,DC
2014-11-01,47,False,DC
2014-12-01,51,False,DC
2015-01-01,100,False,DC
2015-02-01,37,False,DC
2015-03-01,32,False,DC
2015-04-01,61,False,DC
2015-05-01,35,False,DC
2015-06-01,35,False,DC
2015-07-01,39,False,DC
2015-08-01,31,False,DC
2015-09-01,21,False,DC
2015-10-01,31,False,DC
2015-11-01,45,False,DC
2015-12-01,71,False,DC
2016-01-01,50,False,DC
2016-02-01,49,False,DC
2016-03-01,28,False,DC
2016-04-01,36,False,DC
2016-05-01,44,False,DC
2016-06-01,35,False,DC
2016-07-01,50,False,DC
2016-08-01,55,False,DC
2016-09-01,46,False,DC
2016-10-01,26,False,DC
2016-11-01,53,False,DC
2016-12-01,54,False,DC
2017-01-01,20,False,DC
2017-02-01,47,False,DC
2017-03-01,51,False,DC
2017-04-01,48,False,DC
2017-05-01,40,False,DC
2017-06-01,29,False,DC
2017-07-01,30,False,DC
2017-08-01,46,False,DC
2017-09-01,25,False,DC
2017-10-01,50,False,DC
2017-11-01,50,False,DC
2017-12-01,74,False,DC
2018-01-01,40,False,DC
2018-02-01,44,False,DC
2018-03-01,42,False,DC
2018-04-01,31,False,DC
2018-05-01,52,False,DC
2018-06-01,66,False,DC
2018-07-01,58,False,DC
2018-08-01,68,False,DC
2018-09-01,33,False,DC
2018-10-01,37,False,DC
2018-11-01,84,False,DC
2018-12-01,35,False,DC
2019-01-01,32,False,DC
2011-01-01,16,False,DE
2011-02-01,51,False,DE
2011-03-01,30,False,DE
2011-04-01,64,False,DE
2011-05-01,47,False,DE
2011-06-01,36,False,DE
2011-07-01,0,False,DE
2011-08-01,78,False,DE
2011-09-01,16,False,DE
2011-10-01,29,False,DE
2011-11-01,15,False,DE
2011-12-01,73,False,DE
2012-01-01,41,False,DE
2012-02-01,28,False,DE
2012-03-01,14,False,DE
2012-04-01,28,False,DE
2012-05-01,40,False,DE
2012-06-01,15,False,DE
2012-07-01,27,False,DE
2012-08-01,40,False,DE
2012-09-01,13,False,DE
2012-10-01,36,False,DE
2012-11-01,37,False,DE
2012-12-01,49,False,DE
2013-01-01,22,False,DE
2013-02-01,46,False,DE
2013-03-01,43,False,DE
2013-04-01,78,False,DE
2013-05-01,32,False,DE
2013-06-01,12,False,DE
