date,harvard,isPartial,State
2016-04-01,74,False,CA
2016-05-01,79,False,CA
2016-06-01,60,False,CA
2016-07-01,57,False,CA
2016-08-01,64,False,CA
2016-09-01,69,False,CA
2016-10-01,67,False,CA
2016-11-01,70,False,CA
2016-12-01,70,False,CA
2017-01-01,76,False,CA
2017-02-01,68,False,CA
2017-03-01,74,False,CA
2017-04-01,67,False,CA
2017-05-01,75,False,CA
2017-06-01,74,False,CA
2017-07-01,58,False,CA
2017-08-01,72,False,CA
2017-09-01,73,False,CA
2017-10-01,68,False,CA
2017-11-01,81,False,CA
2017-12-01,71,False,CA
2018-01-01,71,False,CA
2018-02-01,77,False,CA
2018-03-01,77,False,CA
2018-04-01,73,False,CA
2018-05-01,74,False,CA
2018-06-01,67,False,CA
2018-07-01,60,False,CA
2018-08-01,71,False,CA
2018-09-01,68,False,CA
2018-10-01,76,False,CA
2018-11-01,78,False,CA
2018-12-01,69,False,CA
2019-01-01,68,False,CA
2011-01-01,89,False,CO
2011-02-01,82,False,CO
2011-03-01,78,False,CO
2011-04-01,76,False,CO
2011-05-01,70,False,CO
2011-06-01,60,False,CO
2011-07-01,78,False,CO
2011-08-01,73,False,CO
2011-09-01,84,False,CO
2011-10-01,64,False,CO
2011-11-01,77,False,CO
2011-12-01,72,False,CO
2012-01-01,58,False,CO
2012-02-01,66,False,CO
2012-03-01,78,False,CO
2012-04-01,63,False,CO
2012-05-01,100,False,CO
2012-06-01,75,False,CO
2012-07-01,69,False,CO
2012-08-01,89,False,CO
2012-09-01,71,False,CO
2012-10-01,70,False,CO
2012-11-01,76,False,CO
2012-12-01,77,False,CO
2013-01-01,76,False,CO
2013-02-01,70,False,CO
2013-03-01,93,False,CO
2013-04-01,67,False,CO
2013-05-01,77,False,CO
2013-06-01,56,False,CO
2013-07-01,62,False,CO
2013-08-01,80,False,CO
2013-09-01,61,False,CO
2013-10-01,72,False,CO
2013-11-01,59,False,CO
2013-12-01,70,False,CO
2014-01-01,64,False,CO
2014-02-01,86,False,CO
2014-03-01,89,False,CO
2014-04-01,73,False,CO
2014-05-01,75,False,CO
2014-06-01,70,False,CO
2014-07-01,65,False,CO
2014-08-01,62,False,CO
2014-09-01,66,False,CO
2014-10-01,62,False,CO
2014-11-01,98,False,CO
2014-12-01,78,False,CO
2015-01-01,73,False,CO
2015-02-01,78,False,CO
2015-03-01,95,False,CO
2015-04-01,71,False,CO
2015-05-01,66,False,CO
