date,slutload,isPartial,State
2011-03-01,77,False,CO
2011-04-01,95,False,CO
2011-05-01,59,False,CO
2011-06-01,54,False,CO
2011-07-01,73,False,CO
2011-08-01,64,False,CO
2011-09-01,58,False,CO
2011-10-01,43,False,CO
2011-11-01,49,False,CO
2011-12-01,52,False,CO
2012-01-01,34,False,CO
2012-02-01,33,False,CO
2012-03-01,36,False,CO
2012-04-01,48,False,CO
2012-05-01,33,False,CO
2012-06-01,25,False,CO
2012-07-01,29,False,CO
2012-08-01,28,False,CO
2012-09-01,17,False,CO
2012-10-01,31,False,CO
2012-11-01,34,False,CO
2012-12-01,30,False,CO
2013-01-01,32,False,CO
2013-02-01,19,False,CO
2013-03-01,29,False,CO
2013-04-01,21,False,CO
2013-05-01,26,False,CO
2013-06-01,26,False,CO
2013-07-01,14,False,CO
2013-08-01,18,False,CO
2013-09-01,19,False,CO
2013-10-01,17,False,CO
2013-11-01,20,False,CO
2013-12-01,20,False,CO
2014-01-01,14,False,CO
2014-02-01,22,False,CO
2014-03-01,12,False,CO
2014-04-01,13,False,CO
2014-05-01,26,False,CO
2014-06-01,25,False,CO
2014-07-01,28,False,CO
2014-08-01,19,False,CO
2014-09-01,21,False,CO
2014-10-01,8,False,CO
2014-11-01,8,False,CO
2014-12-01,14,False,CO
2015-01-01,9,False,CO
2015-02-01,16,False,CO
2015-03-01,20,False,CO
2015-04-01,15,False,CO
2015-05-01,12,False,CO
2015-06-01,7,False,CO
2015-07-01,17,False,CO
2015-08-01,16,False,CO
2015-09-01,9,False,CO
2015-10-01,18,False,CO
2015-11-01,7,False,CO
2015-12-01,13,False,CO
2016-01-01,10,False,CO
2016-02-01,14,False,CO
2016-03-01,17,False,CO
2016-04-01,7,False,CO
2016-05-01,7,False,CO
2016-06-01,18,False,CO
2016-07-01,12,False,CO
2016-08-01,5,False,CO
2016-09-01,16,False,CO
2016-10-01,10,False,CO
2016-11-01,7,False,CO
2016-12-01,6,False,CO
2017-01-01,2,False,CO
2017-02-01,12,False,CO
2017-03-01,7,False,CO
2017-04-01,16,False,CO
2017-05-01,9,False,CO
2017-06-01,9,False,CO
2017-07-01,6,False,CO
2017-08-01,7,False,CO
2017-09-01,4,False,CO
2017-10-01,3,False,CO
2017-11-01,7,False,CO
2017-12-01,5,False,CO
2018-01-01,2,False,CO
2018-02-01,4,False,CO
2018-03-01,3,False,CO
2018-04-01,4,False,CO
2018-05-01,3,False,CO
2018-06-01,8,False,CO
2018-07-01,1,False,CO
2018-08-01,7,False,CO
2018-09-01,6,False,CO
2018-10-01,7,False,CO
2018-11-01,5,False,CO
2018-12-01,5,False,CO
2019-01-01,2,False,CO
2011-01-01,100,False,CT
2011-02-01,74,False,CT
2011-03-01,56,False,CT
2011-04-01,98,False,CT
2011-05-01,78,False,CT
2011-06-01,81,False,CT
2011-07-01,96,False,CT
2011-08-01,57,False,CT
2011-09-01,46,False,CT
2011-10-01,41,False,CT
2011-11-01,37,False,CT
2011-12-01,46,False,CT
2012-01-01,38,False,CT
2012-02-01,47,False,CT
2012-03-01,37,False,CT
2012-04-01,39,False,CT
2012-05-01,34,False,CT
2012-06-01,34,False,CT
2012-07-01,38,False,CT
2012-08-01,26,False,CT
2012-09-01,20,False,CT
2012-10-01,32,False,CT
2012-11-01,41,False,CT
2012-12-01,33,False,CT
2013-01-01,32,False,CT
2013-02-01,17,False,CT
2013-03-01,17,False,CT
2013-04-01,30,False,CT
2013-05-01,14,False,CT
2013-06-01,21,False,CT
2013-07-01,26,False,CT
2013-08-01,6,False,CT
2013-09-01,26,False,CT
2013-10-01,7,False,CT
2013-11-01,13,False,CT
2013-12-01,5,False,CT
2014-01-01,12,False,CT
2014-02-01,15,False,CT
2014-03-01,16,False,CT
2014-04-01,10,False,CT
2014-05-01,11,False,CT
2014-06-01,8,False,CT
2014-07-01,7,False,CT
2014-08-01,5,False,CT
2014-09-01,15,False,CT
2014-10-01,12,False,CT
2014-11-01,10,False,CT
2014-12-01,8,False,CT
2015-01-01,13,False,CT
2015-02-01,3,False,CT
2015-03-01,5,False,CT
2015-04-01,8,False,CT
2015-05-01,0,False,CT
2015-06-01,13,False,CT
2015-07-01,5,False,CT
2015-08-01,2,False,CT
2015-09-01,6,False,CT
2015-10-01,4,False,CT
2015-11-01,0,False,CT
2015-12-01,4,False,CT
2016-01-01,7,False,CT
2016-02-01,0,False,CT
2016-03-01,3,False,CT
2016-04-01,5,False,CT
2016-05-01,2,False,CT
2016-06-01,3,False,CT
2016-07-01,5,False,CT
2016-08-01,3,False,CT
2016-09-01,5,False,CT
2016-10-01,4,False,CT
2016-11-01,4,False,CT
2016-12-01,6,False,CT
2017-01-01,5,False,CT
2017-02-01,1,False,CT
2017-03-01,5,False,CT
2017-04-01,0,False,CT
2017-05-01,7,False,CT
2017-06-01,3,False,CT
2017-07-01,5,False,CT
2017-08-01,3,False,CT
2017-09-01,4,False,CT
2017-10-01,8,False,CT
2017-11-01,4,False,CT
2017-12-01,3,False,CT
2018-01-01,3,False,CT
2018-02-01,3,False,CT
2018-03-01,0,False,CT
2018-04-01,1,False,CT
2018-05-01,1,False,CT
2018-06-01,4,False,CT
2018-07-01,1,False,CT
2018-08-01,4,False,CT
2018-09-01,0,False,CT
2018-10-01,3,False,CT
2018-11-01,8,False,CT
2018-12-01,5,False,CT
2019-01-01,1,False,CT
2011-01-01,100,False,DC
2011-02-01,52,False,DC
2011-03-01,46,False,DC
2011-04-01,67,False,DC
2011-05-01,49,False,DC
2011-06-01,46,False,DC
2011-07-01,52,False,DC
2011-08-01,33,False,DC
2011-09-01,35,False,DC
2011-10-01,47,False,DC
2011-11-01,56,False,DC
2011-12-01,36,False,DC
2012-01-01,34,False,DC
2012-02-01,25,False,DC
2012-03-01,48,False,DC
2012-04-01,24,False,DC
2012-05-01,36,False,DC
2012-06-01,26,False,DC
2012-07-01,34,False,DC
2012-08-01,24,False,DC
2012-09-01,32,False,DC
2012-10-01,24,False,DC
2012-11-01,30,False,DC
2012-12-01,98,False,DC
2013-01-01,33,False,DC
2013-02-01,43,False,DC
2013-03-01,24,False,DC
2013-04-01,40,False,DC
2013-05-01,54,False,DC
2013-06-01,37,False,DC
2013-07-01,10,False,DC
2013-08-01,20,False,DC
2013-09-01,33,False,DC
2013-10-01,32,False,DC
2013-11-01,26,False,DC
2013-12-01,10,False,DC
2014-01-01,22,False,DC
2014-02-01,30,False,DC
2014-03-01,44,False,DC
2014-04-01,35,False,DC
2014-05-01,19,False,DC
2014-06-01,0,False,DC
2014-07-01,8,False,DC
2014-08-01,39,False,DC
2014-09-01,41,False,DC
2014-10-01,15,False,DC
2014-11-01,46,False,DC
2014-12-01,19,False,DC
2015-01-01,8,False,DC
2015-02-01,26,False,DC
2015-03-01,16,False,DC
2015-04-01,12,False,DC
2015-05-01,4,False,DC
2015-06-01,16,False,DC
2015-07-01,29,False,DC
2015-08-01,22,False,DC
2015-09-01,21,False,DC
2015-10-01,13,False,DC
2015-11-01,34,False,DC
2015-12-01,17,False,DC
2016-01-01,5,False,DC
2016-02-01,9,False,DC
2016-03-01,17,False,DC
2016-04-01,13,False,DC
2016-05-01,0,False,DC
2016-06-01,9,False,DC
2016-07-01,20,False,DC
2016-08-01,15,False,DC
2016-09-01,13,False,DC
2016-10-01,27,False,DC
2016-11-01,39,False,DC
2016-12-01,16,False,DC
2017-01-01,25,False,DC
2017-02-01,5,False,DC
2017-03-01,4,False,DC
2017-04-01,17,False,DC
2017-05-01,12,False,DC
2017-06-01,5,False,DC
2017-07-01,0,False,DC
2017-08-01,4,False,DC
2017-09-01,8,False,DC
2017-10-01,4,False,DC
2017-11-01,16,False,DC
2017-12-01,0,False,DC
2018-01-01,0,False,DC
2018-02-01,0,False,DC
2018-03-01,0,False,DC
2018-04-01,0,False,DC
2018-05-01,0,False,DC
2018-06-01,0,False,DC
2018-07-01,10,False,DC
2018-08-01,0,False,DC
2018-09-01,0,False,DC
2018-10-01,0,False,DC
2018-11-01,0,False,DC
2018-12-01,22,False,DC
2019-01-01,10,False,DC
2011-01-01,79,False,DE
2011-02-01,72,False,DE
2011-03-01,54,False,DE
2011-04-01,45,False,DE
2011-05-01,88,False,DE
2011-06-01,0,False,DE
2011-07-01,61,False,DE
2011-08-01,33,False,DE
2011-09-01,55,False,DE
2011-10-01,42,False,DE
2011-11-01,11,False,DE
2011-12-01,31,False,DE
2012-01-01,48,False,DE
2012-02-01,50,False,DE
2012-03-01,10,False,DE
2012-04-01,100,False,DE
2012-05-01,38,False,DE
2012-06-01,31,False,DE
2012-07-01,29,False,DE
2012-08-01,9,False,DE
2012-09-01,56,False,DE
2012-10-01,42,False,DE
2012-11-01,26,False,DE
2012-12-01,17,False,DE
2013-01-01,16,False,DE
2013-02-01,33,False,DE
2013-03-01,23,False,DE
2013-04-01,16,False,DE
2013-05-01,8,False,DE
2013-06-01,17,False,DE
2013-07-01,17,False,DE
2013-08-01,9,False,DE
2013-09-01,0,False,DE
2013-10-01,8,False,DE
2013-11-01,16,False,DE
2013-12-01,12,False,DE
2014-01-01,0,False,DE
2014-02-01,8,False,DE
2014-03-01,14,False,DE
2014-04-01,0,False,DE
2014-05-01,8,False,DE
2014-06-01,9,False,DE
2014-07-01,17,False,DE
2014-08-01,0,False,DE
2014-09-01,15,False,DE
2014-10-01,8,False,DE
2014-11-01,8,False,DE
2014-12-01,0,False,DE
2015-01-01,0,False,DE
2015-02-01,0,False,DE
2015-03-01,0,False,DE
2015-04-01,8,False,DE
2015-05-01,8,False,DE
2015-06-01,18,False,DE
2015-07-01,0,False,DE
2015-08-01,0,False,DE
2015-09-01,0,False,DE
2015-10-01,8,False,DE
2015-11-01,8,False,DE
2015-12-01,16,False,DE
2016-01-01,16,False,DE
2016-02-01,11,False,DE
2016-03-01,5,False,DE
2016-04-01,5,False,DE
2016-05-01,11,False,DE
2016-06-01,6,False,DE
2016-07-01,6,False,DE
2016-08-01,17,False,DE
2016-09-01,0,False,DE
2016-10-01,10,False,DE
2016-11-01,5,False,DE
2016-12-01,0,False,DE
2017-01-01,5,False,DE
2017-02-01,0,False,DE
2017-03-01,5,False,DE
2017-04-01,5,False,DE
2017-05-01,5,False,DE
2017-06-01,5,False,DE
2017-07-01,0,False,DE
2017-08-01,9,False,DE
2017-09-01,14,False,DE
2017-10-01,4,False,DE
2017-11-01,5,False,DE
2017-12-01,0,False,DE
2018-01-01,0,False,DE
2018-02-01,5,False,DE
2018-03-01,9,False,DE
2018-04-01,5,False,DE
2018-05-01,0,False,DE
2018-06-01,0,False,DE
2018-07-01,0,False,DE
2018-08-01,4,False,DE
2018-09-01,4,False,DE
2018-10-01,0,False,DE
2018-11-01,4,False,DE
2018-12-01,4,False,DE
2019-01-01,0,False,DE
2011-01-01,100,False,FL
2011-02-01,78,False,FL
2011-03-01,77,False,FL
2011-04-01,87,False,FL
2011-05-01,77,False,FL
2011-06-01,81,False,FL
2011-07-01,68,False,FL
2011-08-01,67,False,FL
2011-09-01,57,False,FL
2011-10-01,52,False,FL
2011-11-01,59,False,FL
2011-12-01,48,False,FL
2012-01-01,44,False,FL
2012-02-01,39,False,FL
2012-03-01,44,False,FL
2012-04-01,26,False,FL
2012-05-01,39,False,FL
2012-06-01,37,False,FL
2012-07-01,30,False,FL
2012-08-01,38,False,FL
2012-09-01,29,False,FL
2012-10-01,28,False,FL
2012-11-01,26,False,FL
2012-12-01,37,False,FL
2013-01-01,27,False,FL
2013-02-01,25,False,FL
2013-03-01,22,False,FL
2013-04-01,23,False,FL
2013-05-01,22,False,FL
2013-06-01,27,False,FL
2013-07-01,18,False,FL
2013-08-01,24,False,FL
2013-09-01,20,False,FL
2013-10-01,23,False,FL
2013-11-01,24,False,FL
2013-12-01,20,False,FL
2014-01-01,18,False,FL
2014-02-01,19,False,FL
2014-03-01,17,False,FL
2014-04-01,11,False,FL
2014-05-01,13,False,FL
2014-06-01,18,False,FL
2014-07-01,19,False,FL
2014-08-01,15,False,FL
2014-09-01,15,False,FL
2014-10-01,17,False,FL
2014-11-01,19,False,FL
2014-12-01,18,False,FL
2015-01-01,16,False,FL
2015-02-01,10,False,FL
2015-03-01,17,False,FL
2015-04-01,13,False,FL
2015-05-01,16,False,FL
2015-06-01,14,False,FL
2015-07-01,11,False,FL
2015-08-01,10,False,FL
2015-09-01,11,False,FL
2015-10-01,10,False,FL
2015-11-01,6,False,FL
2015-12-01,10,False,FL
2016-01-01,10,False,FL
2016-02-01,9,False,FL
2016-03-01,9,False,FL
2016-04-01,10,False,FL
2016-05-01,8,False,FL
2016-06-01,6,False,FL
2016-07-01,11,False,FL
2016-08-01,10,False,FL
2016-09-01,7,False,FL
2016-10-01,6,False,FL
2016-11-01,7,False,FL
2016-12-01,10,False,FL
2017-01-01,9,False,FL
2017-02-01,6,False,FL
2017-03-01,5,False,FL
2017-04-01,6,False,FL
2017-05-01,6,False,FL
2017-06-01,8,False,FL
2017-07-01,7,False,FL
2017-08-01,7,False,FL
2017-09-01,5,False,FL
2017-10-01,4,False,FL
2017-11-01,5,False,FL
2017-12-01,3,False,FL
2018-01-01,6,False,FL
2018-02-01,4,False,FL
2018-03-01,4,False,FL
2018-04-01,4,False,FL
2018-05-01,5,False,FL
2018-06-01,4,False,FL
2018-07-01,5,False,FL
2018-08-01,3,False,FL
2018-09-01,4,False,FL
2018-10-01,6,False,FL
2018-11-01,5,False,FL
2018-12-01,6,False,FL
2019-01-01,3,False,FL
2011-01-01,92,False,GA
2011-02-01,99,False,GA
2011-03-01,94,False,GA
2011-04-01,100,False,GA
2011-05-01,72,False,GA
2011-06-01,67,False,GA
2011-07-01,90,False,GA
2011-08-01,64,False,GA
2011-09-01,66,False,GA
2011-10-01,58,False,GA
2011-11-01,53,False,GA
2011-12-01,63,False,GA
2012-01-01,69,False,GA
2012-02-01,50,False,GA
2012-03-01,59,False,GA
2012-04-01,45,False,GA
2012-05-01,41,False,GA
2012-06-01,31,False,GA
2012-07-01,41,False,GA
2012-08-01,33,False,GA
