date,candy crush,isPartial,State
2017-02-01,11,False,AR
2017-03-01,11,False,AR
2017-04-01,10,False,AR
2017-05-01,11,False,AR
2017-06-01,16,False,AR
2017-07-01,11,False,AR
2017-08-01,7,False,AR
2017-09-01,7,False,AR
2017-10-01,8,False,AR
2017-11-01,8,False,AR
2017-12-01,11,False,AR
2018-01-01,7,False,AR
2018-02-01,10,False,AR
2018-03-01,9,False,AR
2018-04-01,10,False,AR
2018-05-01,9,False,AR
2018-06-01,8,False,AR
2018-07-01,10,False,AR
2018-08-01,9,False,AR
2018-09-01,8,False,AR
2018-10-01,8,False,AR
2018-11-01,5,False,AR
2018-12-01,7,False,AR
2019-01-01,8,False,AR
2011-01-01,0,False,CA
2011-02-01,0,False,CA
2011-03-01,0,False,CA
2011-04-01,0,False,CA
2011-05-01,0,False,CA
2011-06-01,0,False,CA
2011-07-01,0,False,CA
2011-08-01,0,False,CA
2011-09-01,0,False,CA
2011-10-01,0,False,CA
2011-11-01,0,False,CA
2011-12-01,0,False,CA
2012-01-01,0,False,CA
2012-02-01,0,False,CA
2012-03-01,0,False,CA
2012-04-01,0,False,CA
2012-05-01,0,False,CA
2012-06-01,0,False,CA
2012-07-01,0,False,CA
2012-08-01,0,False,CA
2012-09-01,0,False,CA
2012-10-01,0,False,CA
2012-11-01,1,False,CA
2012-12-01,3,False,CA
2013-01-01,6,False,CA
2013-02-01,14,False,CA
2013-03-01,25,False,CA
2013-04-01,42,False,CA
2013-05-01,65,False,CA
2013-06-01,96,False,CA
2013-07-01,100,False,CA
2013-08-01,91,False,CA
2013-09-01,79,False,CA
2013-10-01,67,False,CA
2013-11-01,64,False,CA
2013-12-01,59,False,CA
2014-01-01,58,False,CA
2014-02-01,51,False,CA
2014-03-01,45,False,CA
2014-04-01,39,False,CA
2014-05-01,33,False,CA
2014-06-01,35,False,CA
2014-07-01,35,False,CA
2014-08-01,28,False,CA
2014-09-01,29,False,CA
2014-10-01,25,False,CA
2014-11-01,25,False,CA
2014-12-01,26,False,CA
2015-01-01,26,False,CA
2015-02-01,20,False,CA
2015-03-01,19,False,CA
2015-04-01,18,False,CA
2015-05-01,20,False,CA
2015-06-01,18,False,CA
2015-07-01,16,False,CA
2015-08-01,16,False,CA
2015-09-01,13,False,CA
2015-10-01,14,False,CA
2015-11-01,13,False,CA
2015-12-01,13,False,CA
2016-01-01,15,False,CA
2016-02-01,14,False,CA
2016-03-01,12,False,CA
2016-04-01,12,False,CA
2016-05-01,13,False,CA
2016-06-01,12,False,CA
2016-07-01,14,False,CA
2016-08-01,10,False,CA
2016-09-01,12,False,CA
2016-10-01,10,False,CA
2016-11-01,9,False,CA
2016-12-01,11,False,CA
2017-01-01,12,False,CA
2017-02-01,10,False,CA
2017-03-01,9,False,CA
2017-04-01,9,False,CA
2017-05-01,9,False,CA
2017-06-01,10,False,CA
2017-07-01,12,False,CA
2017-08-01,12,False,CA
2017-09-01,9,False,CA
2017-10-01,9,False,CA
2017-11-01,10,False,CA
2017-12-01,10,False,CA
2018-01-01,10,False,CA
2018-02-01,11,False,CA
2018-03-01,9,False,CA
2018-04-01,9,False,CA
2018-05-01,9,False,CA
2018-06-01,9,False,CA
2018-07-01,10,False,CA
2018-08-01,8,False,CA
2018-09-01,8,False,CA
2018-10-01,8,False,CA
2018-11-01,8,False,CA
2018-12-01,8,False,CA
2019-01-01,8,False,CA
2011-01-01,0,False,CO
2011-02-01,0,False,CO
2011-03-01,0,False,CO
2011-04-01,0,False,CO
2011-05-01,0,False,CO
2011-06-01,0,False,CO
2011-07-01,0,False,CO
2011-08-01,0,False,CO
2011-09-01,0,False,CO
2011-10-01,0,False,CO
2011-11-01,0,False,CO
2011-12-01,0,False,CO
2012-01-01,0,False,CO
2012-02-01,0,False,CO
2012-03-01,0,False,CO
2012-04-01,0,False,CO
2012-05-01,0,False,CO
2012-06-01,0,False,CO
2012-07-01,1,False,CO
2012-08-01,0,False,CO
2012-09-01,1,False,CO
2012-10-01,1,False,CO
2012-11-01,1,False,CO
2012-12-01,1,False,CO
2013-01-01,5,False,CO
2013-02-01,9,False,CO
2013-03-01,17,False,CO
2013-04-01,37,False,CO
2013-05-01,47,False,CO
2013-06-01,79,False,CO
2013-07-01,100,False,CO
2013-08-01,80,False,CO
2013-09-01,73,False,CO
2013-10-01,70,False,CO
2013-11-01,61,False,CO
2013-12-01,59,False,CO
2014-01-01,61,False,CO
2014-02-01,60,False,CO
2014-03-01,44,False,CO
2014-04-01,44,False,CO
2014-05-01,33,False,CO
2014-06-01,30,False,CO
2014-07-01,27,False,CO
2014-08-01,29,False,CO
2014-09-01,33,False,CO
2014-10-01,26,False,CO
2014-11-01,24,False,CO
2014-12-01,19,False,CO
2015-01-01,20,False,CO
2015-02-01,15,False,CO
2015-03-01,21,False,CO
2015-04-01,18,False,CO
2015-05-01,19,False,CO
2015-06-01,21,False,CO
2015-07-01,17,False,CO
2015-08-01,16,False,CO
2015-09-01,15,False,CO
2015-10-01,17,False,CO
2015-11-01,13,False,CO
2015-12-01,10,False,CO
2016-01-01,17,False,CO
2016-02-01,13,False,CO
2016-03-01,16,False,CO
2016-04-01,11,False,CO
2016-05-01,11,False,CO
2016-06-01,9,False,CO
2016-07-01,13,False,CO
2016-08-01,10,False,CO
2016-09-01,8,False,CO
2016-10-01,12,False,CO
2016-11-01,10,False,CO
2016-12-01,15,False,CO
2017-01-01,9,False,CO
2017-02-01,10,False,CO
2017-03-01,11,False,CO
2017-04-01,9,False,CO
2017-05-01,10,False,CO
2017-06-01,7,False,CO
2017-07-01,13,False,CO
2017-08-01,10,False,CO
2017-09-01,9,False,CO
2017-10-01,6,False,CO
2017-11-01,10,False,CO
2017-12-01,8,False,CO
2018-01-01,11,False,CO
2018-02-01,9,False,CO
2018-03-01,10,False,CO
2018-04-01,10,False,CO
2018-05-01,8,False,CO
2018-06-01,8,False,CO
2018-07-01,9,False,CO
2018-08-01,10,False,CO
2018-09-01,8,False,CO
2018-10-01,9,False,CO
2018-11-01,8,False,CO
2018-12-01,8,False,CO
2019-01-01,10,False,CO
2011-01-01,0,False,CT
2011-02-01,0,False,CT
2011-03-01,0,False,CT
2011-04-01,0,False,CT
2011-05-01,0,False,CT
2011-06-01,0,False,CT
2011-07-01,0,False,CT
2011-08-01,0,False,CT
2011-09-01,0,False,CT
2011-10-01,0,False,CT
2011-11-01,0,False,CT
2011-12-01,0,False,CT
2012-01-01,0,False,CT
2012-02-01,0,False,CT
2012-03-01,0,False,CT
2012-04-01,0,False,CT
2012-05-01,1,False,CT
2012-06-01,0,False,CT
2012-07-01,0,False,CT
2012-08-01,1,False,CT
2012-09-01,0,False,CT
2012-10-01,0,False,CT
2012-11-01,2,False,CT
2012-12-01,3,False,CT
2013-01-01,4,False,CT
2013-02-01,13,False,CT
2013-03-01,21,False,CT
2013-04-01,36,False,CT
2013-05-01,57,False,CT
2013-06-01,80,False,CT
2013-07-01,92,False,CT
2013-08-01,100,False,CT
2013-09-01,83,False,CT
2013-10-01,69,False,CT
2013-11-01,64,False,CT
2013-12-01,65,False,CT
2014-01-01,60,False,CT
2014-02-01,61,False,CT
2014-03-01,49,False,CT
2014-04-01,36,False,CT
2014-05-01,26,False,CT
2014-06-01,39,False,CT
2014-07-01,41,False,CT
2014-08-01,30,False,CT
2014-09-01,27,False,CT
2014-10-01,23,False,CT
2014-11-01,23,False,CT
2014-12-01,21,False,CT
2015-01-01,21,False,CT
2015-02-01,16,False,CT
2015-03-01,22,False,CT
2015-04-01,16,False,CT
2015-05-01,20,False,CT
2015-06-01,18,False,CT
2015-07-01,16,False,CT
2015-08-01,25,False,CT
2015-09-01,19,False,CT
2015-10-01,11,False,CT
2015-11-01,13,False,CT
2015-12-01,15,False,CT
2016-01-01,15,False,CT
2016-02-01,14,False,CT
2016-03-01,14,False,CT
2016-04-01,12,False,CT
2016-05-01,14,False,CT
2016-06-01,17,False,CT
2016-07-01,13,False,CT
2016-08-01,15,False,CT
2016-09-01,17,False,CT
2016-10-01,15,False,CT
2016-11-01,14,False,CT
2016-12-01,11,False,CT
2017-01-01,18,False,CT
2017-02-01,8,False,CT
2017-03-01,13,False,CT
2017-04-01,12,False,CT
2017-05-01,12,False,CT
2017-06-01,9,False,CT
2017-07-01,14,False,CT
2017-08-01,12,False,CT
2017-09-01,12,False,CT
2017-10-01,13,False,CT
2017-11-01,9,False,CT
2017-12-01,11,False,CT
2018-01-01,12,False,CT
2018-02-01,12,False,CT
2018-03-01,10,False,CT
2018-04-01,11,False,CT
2018-05-01,9,False,CT
2018-06-01,8,False,CT
2018-07-01,12,False,CT
2018-08-01,11,False,CT
2018-09-01,11,False,CT
2018-10-01,11,False,CT
2018-11-01,9,False,CT
2018-12-01,9,False,CT
2019-01-01,11,False,CT
2011-01-01,0,False,DC
2011-02-01,0,False,DC
2011-03-01,0,False,DC
2011-04-01,0,False,DC
2011-05-01,0,False,DC
2011-06-01,0,False,DC
2011-07-01,0,False,DC
2011-08-01,0,False,DC
2011-09-01,0,False,DC
2011-10-01,0,False,DC
2011-11-01,0,False,DC
2011-12-01,0,False,DC
2012-01-01,0,False,DC
2012-02-01,0,False,DC
2012-03-01,0,False,DC
2012-04-01,0,False,DC
2012-05-01,0,False,DC
2012-06-01,0,False,DC
2012-07-01,1,False,DC
2012-08-01,0,False,DC
2012-09-01,0,False,DC
2012-10-01,0,False,DC
2012-11-01,2,False,DC
2012-12-01,4,False,DC
2013-01-01,4,False,DC
2013-02-01,11,False,DC
2013-03-01,23,False,DC
2013-04-01,42,False,DC
2013-05-01,78,False,DC
2013-06-01,100,False,DC
2013-07-01,87,False,DC
2013-08-01,82,False,DC
2013-09-01,80,False,DC
2013-10-01,73,False,DC
2013-11-01,60,False,DC
2013-12-01,61,False,DC
2014-01-01,55,False,DC
2014-02-01,58,False,DC
2014-03-01,39,False,DC
2014-04-01,41,False,DC
2014-05-01,35,False,DC
2014-06-01,16,False,DC
2014-07-01,37,False,DC
2014-08-01,41,False,DC
2014-09-01,35,False,DC
2014-10-01,24,False,DC
2014-11-01,28,False,DC
2014-12-01,29,False,DC
2015-01-01,27,False,DC
2015-02-01,26,False,DC
2015-03-01,24,False,DC
2015-04-01,24,False,DC
2015-05-01,19,False,DC
2015-06-01,19,False,DC
2015-07-01,17,False,DC
2015-08-01,19,False,DC
2015-09-01,20,False,DC
2015-10-01,17,False,DC
2015-11-01,15,False,DC
2015-12-01,15,False,DC
2016-01-01,20,False,DC
2016-02-01,19,False,DC
2016-03-01,14,False,DC
2016-04-01,12,False,DC
2016-05-01,6,False,DC
2016-06-01,11,False,DC
2016-07-01,10,False,DC
2016-08-01,6,False,DC
2016-09-01,12,False,DC
2016-10-01,8,False,DC
2016-11-01,9,False,DC
2016-12-01,8,False,DC
2017-01-01,10,False,DC
2017-02-01,9,False,DC
2017-03-01,8,False,DC
2017-04-01,12,False,DC
2017-05-01,9,False,DC
2017-06-01,9,False,DC
2017-07-01,13,False,DC
2017-08-01,10,False,DC
2017-09-01,8,False,DC
2017-10-01,9,False,DC
2017-11-01,6,False,DC
2017-12-01,24,False,DC
2018-01-01,4,False,DC
2018-02-01,12,False,DC
2018-03-01,8,False,DC
2018-04-01,8,False,DC
2018-05-01,5,False,DC
2018-06-01,8,False,DC
2018-07-01,1,False,DC
2018-08-01,12,False,DC
2018-09-01,4,False,DC
2018-10-01,4,False,DC
2018-11-01,4,False,DC
2018-12-01,6,False,DC
2019-01-01,1,False,DC
2011-01-01,0,False,DE
2011-02-01,0,False,DE
2011-03-01,0,False,DE
2011-04-01,0,False,DE
2011-05-01,0,False,DE
2011-06-01,0,False,DE
2011-07-01,0,False,DE
2011-08-01,0,False,DE
2011-09-01,0,False,DE
2011-10-01,0,False,DE
2011-11-01,0,False,DE
2011-12-01,0,False,DE
2012-01-01,0,False,DE
2012-02-01,0,False,DE
2012-03-01,0,False,DE
2012-04-01,0,False,DE
2012-05-01,0,False,DE
2012-06-01,0,False,DE
2012-07-01,2,False,DE
2012-08-01,0,False,DE
2012-09-01,0,False,DE
2012-10-01,0,False,DE
2012-11-01,2,False,DE
2012-12-01,8,False,DE
2013-01-01,7,False,DE
2013-02-01,14,False,DE
2013-03-01,20,False,DE
2013-04-01,36,False,DE
2013-05-01,62,False,DE
2013-06-01,95,False,DE
2013-07-01,91,False,DE
2013-08-01,100,False,DE
2013-09-01,81,False,DE
2013-10-01,68,False,DE
2013-11-01,55,False,DE
2013-12-01,46,False,DE
2014-01-01,55,False,DE
2014-02-01,55,False,DE
2014-03-01,45,False,DE
2014-04-01,44,False,DE
2014-05-01,23,False,DE
2014-06-01,27,False,DE
2014-07-01,27,False,DE
2014-08-01,24,False,DE
2014-09-01,17,False,DE
2014-10-01,15,False,DE
2014-11-01,31,False,DE
2014-12-01,25,False,DE
2015-01-01,18,False,DE
2015-02-01,21,False,DE
2015-03-01,17,False,DE
2015-04-01,12,False,DE
2015-05-01,9,False,DE
2015-06-01,18,False,DE
2015-07-01,13,False,DE
2015-08-01,18,False,DE
2015-09-01,17,False,DE
2015-10-01,7,False,DE
2015-11-01,14,False,DE
2015-12-01,9,False,DE
2016-01-01,13,False,DE
2016-02-01,9,False,DE
2016-03-01,11,False,DE
2016-04-01,8,False,DE
2016-05-01,11,False,DE
2016-06-01,9,False,DE
2016-07-01,9,False,DE
2016-08-01,9,False,DE
2016-09-01,13,False,DE
2016-10-01,14,False,DE
2016-11-01,18,False,DE
2016-12-01,9,False,DE
2017-01-01,12,False,DE
2017-02-01,10,False,DE
2017-03-01,10,False,DE
2017-04-01,14,False,DE
2017-05-01,17,False,DE
2017-06-01,8,False,DE
2017-07-01,21,False,DE
2017-08-01,11,False,DE
2017-09-01,13,False,DE
2017-10-01,9,False,DE
2017-11-01,12,False,DE
2017-12-01,4,False,DE
2018-01-01,5,False,DE
2018-02-01,5,False,DE
2018-03-01,9,False,DE
2018-04-01,8,False,DE
2018-05-01,7,False,DE
2018-06-01,8,False,DE
2018-07-01,18,False,DE
2018-08-01,9,False,DE
2018-09-01,12,False,DE
2018-10-01,6,False,DE
2018-11-01,11,False,DE
2018-12-01,9,False,DE
2019-01-01,11,False,DE
2011-01-01,0,False,FL
2011-02-01,0,False,FL
2011-03-01,0,False,FL
2011-04-01,0,False,FL
2011-05-01,0,False,FL
2011-06-01,0,False,FL
2011-07-01,0,False,FL
2011-08-01,0,False,FL
2011-09-01,0,False,FL
2011-10-01,0,False,FL
2011-11-01,0,False,FL
2011-12-01,0,False,FL
2012-01-01,0,False,FL
2012-02-01,0,False,FL
2012-03-01,0,False,FL
2012-04-01,0,False,FL
2012-05-01,0,False,FL
2012-06-01,0,False,FL
2012-07-01,1,False,FL
2012-08-01,1,False,FL
2012-09-01,1,False,FL
2012-10-01,1,False,FL
2012-11-01,1,False,FL
2012-12-01,3,False,FL
2013-01-01,5,False,FL
