date,participants,policy,isPartial,State
2016-08-01,3,80,False,AZ
2016-09-01,3,80,False,AZ
2016-10-01,3,78,False,AZ
2016-11-01,2,97,False,AZ
2016-12-01,1,81,False,AZ
2017-01-01,3,86,False,AZ
2017-02-01,3,82,False,AZ
2017-03-01,2,79,False,AZ
2017-04-01,3,81,False,AZ
2017-05-01,2,91,False,AZ
2017-06-01,2,67,False,AZ
2017-07-01,2,77,False,AZ
2017-08-01,1,69,False,AZ
2017-09-01,3,72,False,AZ
2017-10-01,3,84,False,AZ
2017-11-01,2,85,False,AZ
2017-12-01,2,75,False,AZ
2018-01-01,2,79,False,AZ
2018-02-01,3,81,False,AZ
2018-03-01,3,93,False,AZ
2018-04-01,2,95,False,AZ
2018-05-01,2,96,False,AZ
2018-06-01,1,88,False,AZ
2018-07-01,2,71,False,AZ
2018-08-01,1,77,False,AZ
2018-09-01,4,77,False,AZ
2018-10-01,1,92,False,AZ
2018-11-01,3,89,False,AZ
2018-12-01,2,89,False,AZ
2019-01-01,2,91,False,AZ
2011-01-01,2,53,False,AR
2011-02-01,5,70,False,AR
2011-03-01,2,60,False,AR
2011-04-01,0,100,False,AR
2011-05-01,0,65,False,AR
2011-06-01,0,60,False,AR
2011-07-01,0,46,False,AR
2011-08-01,0,68,False,AR
2011-09-01,0,81,False,AR
2011-10-01,2,56,False,AR
2011-11-01,0,72,False,AR
2011-12-01,2,65,False,AR
2012-01-01,2,76,False,AR
2012-02-01,2,74,False,AR
2012-03-01,2,80,False,AR
2012-04-01,2,77,False,AR
2012-05-01,2,54,False,AR
2012-06-01,2,55,False,AR
2012-07-01,6,49,False,AR
2012-08-01,6,67,False,AR
2012-09-01,6,54,False,AR
2012-10-01,5,77,False,AR
2012-11-01,0,68,False,AR
2012-12-01,4,92,False,AR
2013-01-01,3,66,False,AR
2013-02-01,5,75,False,AR
2013-03-01,2,55,False,AR
2013-04-01,2,78,False,AR
2013-05-01,0,60,False,AR
2013-06-01,0,64,False,AR
2013-07-01,3,60,False,AR
2013-08-01,0,65,False,AR
2013-09-01,1,78,False,AR
2013-10-01,3,68,False,AR
2013-11-01,1,93,False,AR
2013-12-01,1,76,False,AR
2014-01-01,3,61,False,AR
2014-02-01,0,57,False,AR
2014-03-01,0,65,False,AR
2014-04-01,1,81,False,AR
2014-05-01,1,64,False,AR
2014-06-01,0,66,False,AR
2014-07-01,0,54,False,AR
2014-08-01,0,74,False,AR
2014-09-01,1,76,False,AR
2014-10-01,1,79,False,AR
2014-11-01,6,56,False,AR
2014-12-01,3,54,False,AR
2015-01-01,3,76,False,AR
2015-02-01,0,78,False,AR
2015-03-01,4,62,False,AR
2015-04-01,6,88,False,AR
2015-05-01,0,69,False,AR
2015-06-01,3,62,False,AR
2015-07-01,3,67,False,AR
2015-08-01,0,82,False,AR
2015-09-01,1,65,False,AR
2015-10-01,1,77,False,AR
2015-11-01,0,75,False,AR
2015-12-01,2,72,False,AR
2016-01-01,2,52,False,AR
2016-02-01,5,64,False,AR
2016-03-01,2,59,False,AR
2016-04-01,3,64,False,AR
