date,vodka,isPartial,State
2011-12-01,85,False,DC
2012-01-01,95,False,DC
2012-02-01,73,False,DC
2012-03-01,85,False,DC
2012-04-01,93,False,DC
2012-05-01,93,False,DC
2012-06-01,86,False,DC
2012-07-01,100,False,DC
2012-08-01,68,False,DC
2012-09-01,59,False,DC
2012-10-01,69,False,DC
2012-11-01,79,False,DC
2012-12-01,63,False,DC
2013-01-01,59,False,DC
2013-02-01,71,False,DC
2013-03-01,62,False,DC
2013-04-01,51,False,DC
2013-05-01,79,False,DC
2013-06-01,74,False,DC
2013-07-01,67,False,DC
2013-08-01,35,False,DC
2013-09-01,67,False,DC
2013-10-01,38,False,DC
2013-11-01,98,False,DC
2013-12-01,43,False,DC
2014-01-01,42,False,DC
2014-02-01,52,False,DC
2014-03-01,46,False,DC
2014-04-01,55,False,DC
2014-05-01,56,False,DC
2014-06-01,46,False,DC
2014-07-01,68,False,DC
2014-08-01,63,False,DC
2014-09-01,48,False,DC
2014-10-01,73,False,DC
2014-11-01,79,False,DC
2014-12-01,93,False,DC
2015-01-01,63,False,DC
2015-02-01,57,False,DC
2015-03-01,56,False,DC
2015-04-01,56,False,DC
2015-05-01,72,False,DC
2015-06-01,67,False,DC
2015-07-01,54,False,DC
2015-08-01,74,False,DC
2015-09-01,48,False,DC
2015-10-01,73,False,DC
2015-11-01,67,False,DC
2015-12-01,75,False,DC
2016-01-01,94,False,DC
2016-02-01,65,False,DC
2016-03-01,74,False,DC
2016-04-01,68,False,DC
2016-05-01,64,False,DC
2016-06-01,68,False,DC
2016-07-01,78,False,DC
2016-08-01,74,False,DC
2016-09-01,46,False,DC
2016-10-01,59,False,DC
2016-11-01,53,False,DC
2016-12-01,85,False,DC
2017-01-01,56,False,DC
2017-02-01,53,False,DC
2017-03-01,48,False,DC
2017-04-01,60,False,DC
2017-05-01,70,False,DC
2017-06-01,68,False,DC
2017-07-01,66,False,DC
2017-08-01,63,False,DC
2017-09-01,68,False,DC
2017-10-01,67,False,DC
2017-11-01,40,False,DC
2017-12-01,58,False,DC
2018-01-01,44,False,DC
2018-02-01,36,False,DC
2018-03-01,54,False,DC
2018-04-01,58,False,DC
2018-05-01,30,False,DC
2018-06-01,63,False,DC
2018-07-01,73,False,DC
2018-08-01,36,False,DC
2018-09-01,47,False,DC
2018-10-01,57,False,DC
2018-11-01,37,False,DC
2018-12-01,64,False,DC
2019-01-01,53,False,DC
2011-01-01,6,False,DE
2011-02-01,41,False,DE
2011-03-01,61,False,DE
2011-04-01,45,False,DE
2011-05-01,44,False,DE
2011-06-01,100,False,DE
2011-07-01,55,False,DE
2011-08-01,44,False,DE
2011-09-01,37,False,DE
2011-10-01,47,False,DE
2011-11-01,60,False,DE
2011-12-01,70,False,DE
2012-01-01,44,False,DE
2012-02-01,40,False,DE
2012-03-01,38,False,DE
2012-04-01,63,False,DE
2012-05-01,49,False,DE
2012-06-01,59,False,DE
2012-07-01,65,False,DE
2012-08-01,37,False,DE
2012-09-01,52,False,DE
2012-10-01,38,False,DE
2012-11-01,34,False,DE
2012-12-01,72,False,DE
2013-01-01,31,False,DE
2013-02-01,37,False,DE
2013-03-01,38,False,DE
2013-04-01,57,False,DE
2013-05-01,43,False,DE
2013-06-01,43,False,DE
2013-07-01,24,False,DE
2013-08-01,53,False,DE
2013-09-01,72,False,DE
2013-10-01,23,False,DE
2013-11-01,41,False,DE
2013-12-01,56,False,DE
2014-01-01,70,False,DE
2014-02-01,51,False,DE
2014-03-01,43,False,DE
2014-04-01,46,False,DE
2014-05-01,30,False,DE
2014-06-01,46,False,DE
2014-07-01,58,False,DE
2014-08-01,43,False,DE
2014-09-01,53,False,DE
2014-10-01,30,False,DE
2014-11-01,55,False,DE
2014-12-01,51,False,DE
2015-01-01,37,False,DE
2015-02-01,34,False,DE
2015-03-01,31,False,DE
2015-04-01,32,False,DE
2015-05-01,38,False,DE
2015-06-01,36,False,DE
2015-07-01,35,False,DE
2015-08-01,50,False,DE
2015-09-01,14,False,DE
2015-10-01,18,False,DE
2015-11-01,27,False,DE
2015-12-01,54,False,DE
2016-01-01,55,False,DE
2016-02-01,32,False,DE
2016-03-01,37,False,DE
2016-04-01,28,False,DE
2016-05-01,54,False,DE
2016-06-01,39,False,DE
2016-07-01,37,False,DE
2016-08-01,61,False,DE
2016-09-01,69,False,DE
2016-10-01,51,False,DE
2016-11-01,35,False,DE
2016-12-01,40,False,DE
2017-01-01,46,False,DE
2017-02-01,52,False,DE
2017-03-01,48,False,DE
2017-04-01,30,False,DE
2017-05-01,27,False,DE
2017-06-01,38,False,DE
2017-07-01,45,False,DE
2017-08-01,42,False,DE
2017-09-01,39,False,DE
2017-10-01,38,False,DE
2017-11-01,65,False,DE
2017-12-01,56,False,DE
2018-01-01,37,False,DE
2018-02-01,46,False,DE
2018-03-01,44,False,DE
2018-04-01,18,False,DE
2018-05-01,56,False,DE
2018-06-01,73,False,DE
2018-07-01,52,False,DE
2018-08-01,35,False,DE
2018-09-01,25,False,DE
2018-10-01,40,False,DE
2018-11-01,38,False,DE
2018-12-01,64,False,DE
2019-01-01,40,False,DE
2011-01-01,62,False,FL
2011-02-01,62,False,FL
2011-03-01,57,False,FL
2011-04-01,69,False,FL
2011-05-01,64,False,FL
2011-06-01,68,False,FL
2011-07-01,75,False,FL
2011-08-01,64,False,FL
2011-09-01,68,False,FL
2011-10-01,69,False,FL
2011-11-01,80,False,FL
2011-12-01,100,False,FL
2012-01-01,64,False,FL
2012-02-01,59,False,FL
2012-03-01,72,False,FL
2012-04-01,83,False,FL
2012-05-01,71,False,FL
2012-06-01,70,False,FL
2012-07-01,82,False,FL
2012-08-01,75,False,FL
2012-09-01,72,False,FL
2012-10-01,64,False,FL
2012-11-01,69,False,FL
2012-12-01,82,False,FL
2013-01-01,71,False,FL
2013-02-01,64,False,FL
2013-03-01,67,False,FL
2013-04-01,56,False,FL
2013-05-01,60,False,FL
2013-06-01,66,False,FL
2013-07-01,77,False,FL
2013-08-01,72,False,FL
2013-09-01,57,False,FL
2013-10-01,68,False,FL
2013-11-01,63,False,FL
2013-12-01,75,False,FL
2014-01-01,61,False,FL
2014-02-01,59,False,FL
2014-03-01,53,False,FL
2014-04-01,68,False,FL
2014-05-01,69,False,FL
2014-06-01,60,False,FL
2014-07-01,68,False,FL
2014-08-01,62,False,FL
2014-09-01,64,False,FL
2014-10-01,51,False,FL
2014-11-01,59,False,FL
2014-12-01,73,False,FL
2015-01-01,62,False,FL
2015-02-01,52,False,FL
2015-03-01,60,False,FL
2015-04-01,56,False,FL
2015-05-01,65,False,FL
2015-06-01,55,False,FL
2015-07-01,69,False,FL
2015-08-01,64,False,FL
2015-09-01,79,False,FL
2015-10-01,69,False,FL
2015-11-01,65,False,FL
2015-12-01,72,False,FL
2016-01-01,66,False,FL
2016-02-01,62,False,FL
2016-03-01,69,False,FL
2016-04-01,67,False,FL
2016-05-01,75,False,FL
2016-06-01,85,False,FL
2016-07-01,94,False,FL
2016-08-01,71,False,FL
2016-09-01,65,False,FL
2016-10-01,65,False,FL
2016-11-01,53,False,FL
2016-12-01,78,False,FL
2017-01-01,65,False,FL
2017-02-01,65,False,FL
2017-03-01,65,False,FL
2017-04-01,70,False,FL
2017-05-01,79,False,FL
2017-06-01,84,False,FL
2017-07-01,96,False,FL
2017-08-01,69,False,FL
2017-09-01,68,False,FL
2017-10-01,67,False,FL
2017-11-01,57,False,FL
2017-12-01,83,False,FL
2018-01-01,67,False,FL
2018-02-01,59,False,FL
2018-03-01,63,False,FL
2018-04-01,64,False,FL
2018-05-01,63,False,FL
2018-06-01,72,False,FL
2018-07-01,71,False,FL
2018-08-01,68,False,FL
2018-09-01,63,False,FL
2018-10-01,60,False,FL
2018-11-01,63,False,FL
2018-12-01,79,False,FL
2019-01-01,67,False,FL
2011-01-01,73,False,GA
2011-02-01,66,False,GA
2011-03-01,69,False,GA
2011-04-01,55,False,GA
2011-05-01,76,False,GA
2011-06-01,67,False,GA
2011-07-01,78,False,GA
2011-08-01,58,False,GA
2011-09-01,73,False,GA
2011-10-01,73,False,GA
2011-11-01,75,False,GA
2011-12-01,93,False,GA
2012-01-01,71,False,GA
2012-02-01,62,False,GA
2012-03-01,61,False,GA
2012-04-01,87,False,GA
2012-05-01,79,False,GA
2012-06-01,81,False,GA
2012-07-01,93,False,GA
