date,online masters,isPartial,State
2017-03-12,0,False,AK
2017-03-19,0,False,AK
2017-03-26,33,False,AK
2017-04-02,33,False,AK
2017-04-09,0,False,AK
2017-04-16,0,False,AK
2017-04-23,0,False,AK
2017-04-30,0,False,AK
2017-05-07,0,False,AK
2017-05-14,0,False,AK
2017-05-21,0,False,AK
2017-05-28,0,False,AK
2017-06-04,0,False,AK
2017-06-11,0,False,AK
2017-06-18,0,False,AK
2017-06-25,0,False,AK
2017-07-02,0,False,AK
2017-07-09,37,False,AK
2017-07-16,0,False,AK
2017-07-23,0,False,AK
2017-07-30,36,False,AK
2017-08-06,35,False,AK
2017-08-13,35,False,AK
2017-08-20,0,False,AK
2017-08-27,0,False,AK
2017-09-03,35,False,AK
2017-09-10,0,False,AK
2017-09-17,0,False,AK
2017-09-24,35,False,AK
2017-10-01,0,False,AK
2017-10-08,0,False,AK
2017-10-15,0,False,AK
2017-10-22,0,False,AK
2017-10-29,0,False,AK
2017-11-05,71,False,AK
2017-11-12,0,False,AK
2017-11-19,0,False,AK
2017-11-26,0,False,AK
2017-12-03,0,False,AK
2017-12-10,0,False,AK
2017-12-17,0,False,AK
2017-12-24,39,False,AK
2017-12-31,0,False,AK
2018-01-07,69,False,AK
2018-01-14,34,False,AK
2018-01-21,0,False,AK
2018-01-28,0,False,AK
2018-02-04,0,False,AK
2018-02-11,0,False,AK
2018-02-18,0,False,AK
2018-02-25,0,False,AK
2018-03-04,0,False,AK
2018-03-11,0,False,AK
2018-03-18,33,False,AK
2018-03-25,0,False,AK
2018-04-01,100,False,AK
2018-04-08,0,False,AK
2018-04-15,0,False,AK
2018-04-22,0,False,AK
2018-04-29,33,False,AK
2018-05-06,0,False,AK
2018-05-13,0,False,AK
2018-05-20,0,False,AK
2018-05-27,0,False,AK
2018-06-03,0,False,AK
2018-06-10,0,False,AK
2018-06-17,67,False,AK
2018-06-24,66,False,AK
2018-07-01,0,False,AK
2018-07-08,0,False,AK
2018-07-15,0,False,AK
2018-07-22,0,False,AK
2018-07-29,33,False,AK
2018-08-05,0,False,AK
2018-08-12,0,False,AK
2018-08-19,34,False,AK
2018-08-26,69,False,AK
2018-09-02,0,False,AK
2018-09-09,0,False,AK
2018-09-16,35,False,AK
2018-09-23,35,False,AK
2018-09-30,0,False,AK
2018-10-07,0,False,AK
2018-10-14,33,False,AK
2018-10-21,0,False,AK
2018-10-28,27,False,AK
2018-11-04,0,False,AK
2018-11-11,0,False,AK
2018-11-18,0,False,AK
2018-11-25,0,False,AK
2018-12-02,0,False,AK
2018-12-09,0,False,AK
2018-12-16,0,False,AK
2018-12-23,0,False,AK
2018-12-30,0,False,AK
2015-01-04,14,False,AZ
2015-01-11,14,False,AZ
2015-01-18,41,False,AZ
2015-01-25,40,False,AZ
2015-02-01,13,False,AZ
2015-02-08,0,False,AZ
2015-02-15,14,False,AZ
2015-02-22,54,False,AZ
2015-03-01,0,False,AZ
2015-03-08,13,False,AZ
2015-03-15,56,False,AZ
2015-03-22,0,False,AZ
2015-03-29,42,False,AZ
2015-04-05,41,False,AZ
2015-04-12,14,False,AZ
2015-04-19,0,False,AZ
2015-04-26,0,False,AZ
2015-05-03,0,False,AZ
2015-05-10,42,False,AZ
2015-05-17,14,False,AZ
2015-05-24,30,False,AZ
2015-05-31,14,False,AZ
2015-06-07,0,False,AZ
2015-06-14,57,False,AZ
2015-06-21,15,False,AZ
2015-06-28,29,False,AZ
2015-07-05,14,False,AZ
2015-07-12,28,False,AZ
2015-07-19,72,False,AZ
2015-07-26,28,False,AZ
2015-08-02,42,False,AZ
2015-08-09,84,False,AZ
2015-08-16,27,False,AZ
2015-08-23,13,False,AZ
2015-08-30,27,False,AZ
2015-09-06,40,False,AZ
2015-09-13,13,False,AZ
2015-09-20,0,False,AZ
2015-09-27,13,False,AZ
2015-10-04,0,False,AZ
2015-10-11,52,False,AZ
2015-10-18,13,False,AZ
2015-10-25,39,False,AZ
2015-11-01,26,False,AZ
2015-11-08,40,False,AZ
2015-11-15,40,False,AZ
2015-11-22,14,False,AZ
2015-11-29,13,False,AZ
2015-12-06,12,False,AZ
2015-12-13,13,False,AZ
2015-12-20,0,False,AZ
2015-12-27,14,False,AZ
2016-01-03,11,False,AZ
2016-01-10,33,False,AZ
2016-01-17,45,False,AZ
2016-01-24,22,False,AZ
2016-01-31,11,False,AZ
2016-02-07,55,False,AZ
2016-02-14,33,False,AZ
2016-02-21,33,False,AZ
2016-02-28,33,False,AZ
2016-03-06,22,False,AZ
2016-03-13,23,False,AZ
2016-03-20,0,False,AZ
2016-03-27,11,False,AZ
2016-04-03,44,False,AZ
2016-04-10,100,False,AZ
2016-04-17,22,False,AZ
2016-04-24,22,False,AZ
2016-05-01,33,False,AZ
2016-05-08,46,False,AZ
2016-05-15,23,False,AZ
2016-05-22,36,False,AZ
2016-05-29,12,False,AZ
2016-06-05,12,False,AZ
2016-06-12,12,False,AZ
2016-06-19,12,False,AZ
2016-06-26,37,False,AZ
2016-07-03,25,False,AZ
2016-07-10,25,False,AZ
2016-07-17,25,False,AZ
2016-07-24,24,False,AZ
2016-07-31,12,False,AZ
2016-08-07,0,False,AZ
2016-08-14,38,False,AZ
2016-08-21,12,False,AZ
2016-08-28,34,False,AZ
2016-09-04,23,False,AZ
2016-09-11,11,False,AZ
2016-09-18,0,False,AZ
2016-09-25,45,False,AZ
2016-10-02,34,False,AZ
2016-10-09,23,False,AZ
2016-10-16,11,False,AZ
2016-10-23,56,False,AZ
2016-10-30,22,False,AZ
2016-11-06,21,False,AZ
2016-11-13,22,False,AZ
2016-11-20,0,False,AZ
2016-11-27,32,False,AZ
2016-12-04,31,False,AZ
2016-12-11,21,False,AZ
2016-12-18,11,False,AZ
2016-12-25,12,False,AZ
2017-01-01,11,False,AZ
2017-01-08,31,False,AZ
2017-01-15,70,False,AZ
2017-01-22,20,False,AZ
2017-01-29,50,False,AZ
2017-02-05,19,False,AZ
2017-02-12,10,False,AZ
2017-02-19,29,False,AZ
2017-02-26,47,False,AZ
2017-03-05,38,False,AZ
2017-03-12,39,False,AZ
2017-03-19,29,False,AZ
2017-03-26,48,False,AZ
2017-04-02,39,False,AZ
2017-04-09,30,False,AZ
2017-04-16,30,False,AZ
2017-04-23,69,False,AZ
2017-04-30,69,False,AZ
2017-05-07,30,False,AZ
2017-05-14,42,False,AZ
2017-05-21,65,False,AZ
2017-05-28,45,False,AZ
2017-06-04,11,False,AZ
2017-06-11,0,False,AZ
2017-06-18,21,False,AZ
2017-06-25,33,False,AZ
2017-07-02,0,False,AZ
2017-07-09,11,False,AZ
2017-07-16,55,False,AZ
2017-07-23,11,False,AZ
2017-07-30,31,False,AZ
2017-08-06,40,False,AZ
2017-08-13,10,False,AZ
2017-08-20,19,False,AZ
2017-08-27,19,False,AZ
2017-09-03,29,False,AZ
2017-09-10,48,False,AZ
2017-09-17,29,False,AZ
2017-09-24,10,False,AZ
2017-10-01,10,False,AZ
2017-10-08,20,False,AZ
2017-10-15,30,False,AZ
2017-10-22,29,False,AZ
2017-10-29,29,False,AZ
2017-11-05,29,False,AZ
2017-11-12,19,False,AZ
2017-11-19,40,False,AZ
2017-11-26,38,False,AZ
2017-12-03,19,False,AZ
2017-12-10,29,False,AZ
2017-12-17,10,False,AZ
2017-12-24,0,False,AZ
2017-12-31,10,False,AZ
2018-01-07,0,False,AZ
2018-01-14,9,False,AZ
2018-01-21,37,False,AZ
2018-01-28,28,False,AZ
2018-02-04,9,False,AZ
2018-02-11,46,False,AZ
2018-02-18,27,False,AZ
2018-02-25,0,False,AZ
2018-03-04,37,False,AZ
2018-03-11,56,False,AZ
2018-03-18,37,False,AZ
2018-03-25,9,False,AZ
2018-04-01,56,False,AZ
2018-04-08,37,False,AZ
2018-04-15,28,False,AZ
2018-04-22,37,False,AZ
2018-04-29,47,False,AZ
2018-05-06,47,False,AZ
2018-05-13,68,False,AZ
2018-05-20,50,False,AZ
2018-05-27,10,False,AZ
2018-06-03,40,False,AZ
2018-06-10,10,False,AZ
2018-06-17,0,False,AZ
2018-06-24,80,False,AZ
2018-07-01,21,False,AZ
2018-07-08,59,False,AZ
2018-07-15,0,False,AZ
2018-07-22,30,False,AZ
2018-07-29,79,False,AZ
2018-08-05,38,False,AZ
2018-08-12,29,False,AZ
2018-08-19,10,False,AZ
2018-08-26,38,False,AZ
2018-09-02,28,False,AZ
2018-09-09,57,False,AZ
2018-09-16,9,False,AZ
2018-09-23,57,False,AZ
2018-09-30,19,False,AZ
2018-10-07,30,False,AZ
2018-10-14,78,False,AZ
2018-10-21,10,False,AZ
2018-10-28,39,False,AZ
2018-11-04,36,False,AZ
2018-11-11,10,False,AZ
2018-11-18,29,False,AZ
2018-11-25,28,False,AZ
2018-12-02,47,False,AZ
2018-12-09,29,False,AZ
2018-12-16,39,False,AZ
2018-12-23,21,False,AZ
2018-12-30,40,False,AZ
2015-01-04,20,False,AR
2015-01-11,19,False,AR
2015-01-18,100,False,AR
2015-01-25,59,False,AR
2015-02-01,19,False,AR
2015-02-08,0,False,AR
2015-02-15,0,False,AR
2015-02-22,0,False,AR
2015-03-01,19,False,AR
2015-03-08,41,False,AR
2015-03-15,0,False,AR
2015-03-22,0,False,AR
2015-03-29,0,False,AR
2015-04-05,82,False,AR
2015-04-12,20,False,AR
2015-04-19,0,False,AR
2015-04-26,0,False,AR
2015-05-03,21,False,AR
2015-05-10,22,False,AR
2015-05-17,0,False,AR
2015-05-24,22,False,AR
2015-05-31,0,False,AR
2015-06-07,0,False,AR
2015-06-14,0,False,AR
2015-06-21,23,False,AR
2015-06-28,0,False,AR
2015-07-05,46,False,AR
2015-07-12,23,False,AR
2015-07-19,24,False,AR
2015-07-26,94,False,AR
2015-08-02,24,False,AR
2015-08-09,0,False,AR
2015-08-16,0,False,AR
2015-08-23,20,False,AR
2015-08-30,20,False,AR
2015-09-06,0,False,AR
2015-09-13,0,False,AR
2015-09-20,20,False,AR
2015-09-27,40,False,AR
2015-10-04,0,False,AR
2015-10-11,0,False,AR
2015-10-18,15,False,AR
2015-10-25,15,False,AR
2015-11-01,15,False,AR
2015-11-08,0,False,AR
2015-11-15,0,False,AR
2015-11-22,0,False,AR
2015-11-29,0,False,AR
2015-12-06,0,False,AR
2015-12-13,0,False,AR
2015-12-20,0,False,AR
2015-12-27,16,False,AR
2016-01-03,0,False,AR
2016-01-10,28,False,AR
2016-01-17,0,False,AR
2016-01-24,38,False,AR
2016-01-31,0,False,AR
2016-02-07,37,False,AR
2016-02-14,25,False,AR
2016-02-21,12,False,AR
2016-02-28,12,False,AR
2016-03-06,12,False,AR
2016-03-13,12,False,AR
2016-03-20,29,False,AR
2016-03-27,13,False,AR
2016-04-03,0,False,AR
2016-04-10,0,False,AR
2016-04-17,13,False,AR
2016-04-24,12,False,AR
2016-05-01,0,False,AR
2016-05-08,0,False,AR
2016-05-15,0,False,AR
2016-05-22,13,False,AR
2016-05-29,27,False,AR
2016-06-05,0,False,AR
2016-06-12,14,False,AR
2016-06-19,14,False,AR
2016-06-26,29,False,AR
2016-07-03,0,False,AR
2016-07-10,0,False,AR
2016-07-17,0,False,AR
2016-07-24,28,False,AR
2016-07-31,42,False,AR
2016-08-07,0,False,AR
2016-08-14,0,False,AR
2016-08-21,0,False,AR
2016-08-28,0,False,AR
2016-09-04,0,False,AR
2016-09-11,36,False,AR
2016-09-18,13,False,AR
2016-09-25,37,False,AR
2016-10-02,24,False,AR
2016-10-09,13,False,AR
2016-10-16,13,False,AR
2016-10-23,13,False,AR
2016-10-30,13,False,AR
2016-11-06,12,False,AR
2016-11-13,25,False,AR
2016-11-20,0,False,AR
2016-11-27,12,False,AR
2016-12-04,12,False,AR
2016-12-11,24,False,AR
2016-12-18,0,False,AR
2016-12-25,0,False,AR
2017-01-01,0,False,AR
2017-01-08,0,False,AR
2017-01-15,23,False,AR
2017-01-22,11,False,AR
2017-01-29,0,False,AR
2017-02-05,23,False,AR
2017-02-12,0,False,AR
2017-02-19,0,False,AR
2017-02-26,11,False,AR
2017-03-05,22,False,AR
2017-03-12,11,False,AR
2017-03-19,40,False,AR
2017-03-26,11,False,AR
2017-04-02,12,False,AR
2017-04-09,12,False,AR
2017-04-16,12,False,AR
2017-04-23,0,False,AR
2017-04-30,23,False,AR
2017-05-07,0,False,AR
2017-05-14,26,False,AR
2017-05-21,13,False,AR
2017-05-28,42,False,AR
2017-06-04,0,False,AR
2017-06-11,0,False,AR
2017-06-18,38,False,AR
2017-06-25,0,False,AR
2017-07-02,14,False,AR
2017-07-09,14,False,AR
2017-07-16,13,False,AR
2017-07-23,0,False,AR
2017-07-30,26,False,AR
2017-08-06,25,False,AR
2017-08-13,25,False,AR
2017-08-20,24,False,AR
2017-08-27,0,False,AR
2017-09-03,36,False,AR
2017-09-10,0,False,AR
2017-09-17,23,False,AR
2017-09-24,0,False,AR
