date,porn,isPartial,State
2017-12-17,51,False,AK
2017-12-24,52,False,AK
2017-12-31,54,False,AK
2018-01-07,40,False,AK
2018-01-14,45,False,AK
2018-01-21,44,False,AK
2018-01-28,41,False,AK
2018-02-04,52,False,AK
2018-02-11,46,False,AK
2018-02-18,47,False,AK
2018-02-25,45,False,AK
2018-03-04,51,False,AK
2018-03-11,45,False,AK
2018-03-18,41,False,AK
2018-03-25,50,False,AK
2018-04-01,44,False,AK
2018-04-08,30,False,AK
2018-04-15,47,False,AK
2018-04-22,44,False,AK
2018-04-29,41,False,AK
2018-05-06,41,False,AK
2018-05-13,44,False,AK
2018-05-20,56,False,AK
2018-05-27,58,False,AK
2018-06-03,55,False,AK
2018-06-10,38,False,AK
2018-06-17,44,False,AK
2018-06-24,47,False,AK
2018-07-01,40,False,AK
2018-07-08,39,False,AK
2018-07-15,55,False,AK
2018-07-22,52,False,AK
2018-07-29,39,False,AK
2018-08-05,49,False,AK
2018-08-12,52,False,AK
2018-08-19,49,False,AK
2018-08-26,47,False,AK
2018-09-02,37,False,AK
2018-09-09,44,False,AK
2018-09-16,53,False,AK
2018-09-23,46,False,AK
2018-09-30,46,False,AK
2018-10-07,48,False,AK
2018-10-14,33,False,AK
2018-10-21,54,False,AK
2018-10-28,42,False,AK
2018-11-04,48,False,AK
2018-11-11,43,False,AK
2018-11-18,49,False,AK
2018-11-25,40,False,AK
2018-12-02,39,False,AK
2018-12-09,45,False,AK
2018-12-16,60,False,AK
2018-12-23,50,False,AK
2018-12-30,51,False,AK
2015-01-04,91,False,AZ
2015-01-11,89,False,AZ
2015-01-18,84,False,AZ
2015-01-25,86,False,AZ
2015-02-01,83,False,AZ
2015-02-08,81,False,AZ
2015-02-15,84,False,AZ
2015-02-22,85,False,AZ
2015-03-01,81,False,AZ
2015-03-08,87,False,AZ
2015-03-15,90,False,AZ
2015-03-22,84,False,AZ
2015-03-29,89,False,AZ
2015-04-05,86,False,AZ
2015-04-12,87,False,AZ
2015-04-19,86,False,AZ
2015-04-26,85,False,AZ
2015-05-03,88,False,AZ
2015-05-10,90,False,AZ
2015-05-17,92,False,AZ
2015-05-24,100,False,AZ
2015-05-31,96,False,AZ
2015-06-07,92,False,AZ
2015-06-14,92,False,AZ
2015-06-21,96,False,AZ
2015-06-28,97,False,AZ
2015-07-05,97,False,AZ
2015-07-12,91,False,AZ
2015-07-19,98,False,AZ
2015-07-26,92,False,AZ
2015-08-02,89,False,AZ
2015-08-09,91,False,AZ
2015-08-16,83,False,AZ
2015-08-23,85,False,AZ
2015-08-30,86,False,AZ
2015-09-06,85,False,AZ
2015-09-13,83,False,AZ
2015-09-20,81,False,AZ
2015-09-27,77,False,AZ
2015-10-04,81,False,AZ
2015-10-11,84,False,AZ
2015-10-18,79,False,AZ
2015-10-25,80,False,AZ
2015-11-01,76,False,AZ
2015-11-08,76,False,AZ
2015-11-15,72,False,AZ
2015-11-22,85,False,AZ
2015-11-29,74,False,AZ
2015-12-06,79,False,AZ
2015-12-13,76,False,AZ
2015-12-20,93,False,AZ
2015-12-27,89,False,AZ
2016-01-03,77,False,AZ
2016-01-10,67,False,AZ
2016-01-17,70,False,AZ
2016-01-24,72,False,AZ
2016-01-31,67,False,AZ
2016-02-07,70,False,AZ
