date,coursera,isPartial,State
2018-03-11,0,False,AK
2018-03-18,0,False,AK
2018-03-25,0,False,AK
2018-04-01,0,False,AK
2018-04-08,34,False,AK
2018-04-15,0,False,AK
2018-04-22,0,False,AK
2018-04-29,0,False,AK
2018-05-06,35,False,AK
2018-05-13,0,False,AK
2018-05-20,0,False,AK
2018-05-27,37,False,AK
2018-06-03,0,False,AK
2018-06-10,0,False,AK
2018-06-17,0,False,AK
2018-06-24,0,False,AK
2018-07-01,0,False,AK
2018-07-08,0,False,AK
2018-07-15,0,False,AK
2018-07-22,0,False,AK
2018-07-29,0,False,AK
2018-08-05,0,False,AK
2018-08-12,34,False,AK
2018-08-19,0,False,AK
2018-08-26,0,False,AK
2018-09-02,0,False,AK
2018-09-09,0,False,AK
2018-09-16,0,False,AK
2018-09-23,0,False,AK
2018-09-30,0,False,AK
2018-10-07,0,False,AK
2018-10-14,0,False,AK
2018-10-21,0,False,AK
2018-10-28,0,False,AK
2018-11-04,0,False,AK
2018-11-11,0,False,AK
2018-11-18,0,False,AK
2018-11-25,0,False,AK
2018-12-02,0,False,AK
2018-12-09,0,False,AK
2018-12-16,0,False,AK
2018-12-23,0,False,AK
2018-12-30,0,False,AK
2015-01-04,29,False,AZ
2015-01-11,58,False,AZ
2015-01-18,28,False,AZ
2015-01-25,42,False,AZ
2015-02-01,42,False,AZ
2015-02-08,14,False,AZ
2015-02-15,43,False,AZ
2015-02-22,70,False,AZ
2015-03-01,27,False,AZ
2015-03-08,27,False,AZ
2015-03-15,29,False,AZ
2015-03-22,16,False,AZ
2015-03-29,58,False,AZ
2015-04-05,100,False,AZ
2015-04-12,43,False,AZ
2015-04-19,57,False,AZ
2015-04-26,14,False,AZ
2015-05-03,72,False,AZ
2015-05-10,15,False,AZ
2015-05-17,15,False,AZ
2015-05-24,61,False,AZ
2015-05-31,30,False,AZ
2015-06-07,45,False,AZ
2015-06-14,15,False,AZ
2015-06-21,45,False,AZ
2015-06-28,45,False,AZ
2015-07-05,30,False,AZ
2015-07-12,15,False,AZ
2015-07-19,15,False,AZ
2015-07-26,44,False,AZ
2015-08-02,43,False,AZ
2015-08-09,43,False,AZ
2015-08-16,56,False,AZ
2015-08-23,14,False,AZ
2015-08-30,42,False,AZ
2015-09-06,14,False,AZ
2015-09-13,40,False,AZ
2015-09-20,40,False,AZ
2015-09-27,13,False,AZ
2015-10-04,27,False,AZ
2015-10-11,54,False,AZ
2015-10-18,40,False,AZ
2015-10-25,13,False,AZ
2015-11-01,40,False,AZ
2015-11-08,42,False,AZ
2015-11-15,14,False,AZ
2015-11-22,14,False,AZ
2015-11-29,13,False,AZ
2015-12-06,26,False,AZ
2015-12-13,14,False,AZ
2015-12-20,0,False,AZ
2015-12-27,14,False,AZ
2016-01-03,23,False,AZ
2016-01-10,46,False,AZ
2016-01-17,0,False,AZ
2016-01-24,35,False,AZ
2016-01-31,57,False,AZ
2016-02-07,11,False,AZ
2016-02-14,23,False,AZ
2016-02-21,11,False,AZ
2016-02-28,11,False,AZ
2016-03-06,35,False,AZ
2016-03-13,24,False,AZ
2016-03-20,0,False,AZ
2016-03-27,12,False,AZ
2016-04-03,0,False,AZ
2016-04-10,12,False,AZ
2016-04-17,11,False,AZ
2016-04-24,11,False,AZ
2016-05-01,12,False,AZ
2016-05-08,0,False,AZ
2016-05-15,24,False,AZ
2016-05-22,13,False,AZ
2016-05-29,0,False,AZ
2016-06-05,12,False,AZ
2016-06-12,0,False,AZ
2016-06-19,61,False,AZ
2016-06-26,25,False,AZ
2016-07-03,0,False,AZ
2016-07-10,0,False,AZ
2016-07-17,13,False,AZ
2016-07-24,25,False,AZ
2016-07-31,13,False,AZ
2016-08-07,13,False,AZ
2016-08-14,40,False,AZ
2016-08-21,12,False,AZ
2016-08-28,24,False,AZ
2016-09-04,0,False,AZ
2016-09-11,82,False,AZ
2016-09-18,35,False,AZ
2016-09-25,35,False,AZ
2016-10-02,12,False,AZ
2016-10-09,36,False,AZ
2016-10-16,24,False,AZ
2016-10-23,0,False,AZ
