date,harry potter,isPartial,State
2016-01-31,24,False,AZ
2016-02-07,32,False,AZ
2016-02-14,28,False,AZ
2016-02-21,23,False,AZ
2016-02-28,24,False,AZ
2016-03-06,41,False,AZ
2016-03-13,19,False,AZ
2016-03-20,29,False,AZ
2016-03-27,26,False,AZ
2016-04-03,30,False,AZ
2016-04-10,32,False,AZ
2016-04-17,20,False,AZ
2016-04-24,29,False,AZ
2016-05-01,28,False,AZ
2016-05-08,31,False,AZ
2016-05-15,25,False,AZ
2016-05-22,37,False,AZ
2016-05-29,43,False,AZ
2016-06-05,34,False,AZ
2016-06-12,27,False,AZ
2016-06-19,29,False,AZ
2016-06-26,32,False,AZ
2016-07-03,37,False,AZ
2016-07-10,35,False,AZ
2016-07-17,30,False,AZ
2016-07-24,36,False,AZ
2016-07-31,100,False,AZ
2016-08-07,36,False,AZ
2016-08-14,36,False,AZ
2016-08-21,33,False,AZ
2016-08-28,31,False,AZ
2016-09-04,34,False,AZ
2016-09-11,31,False,AZ
2016-09-18,29,False,AZ
2016-09-25,31,False,AZ
2016-10-02,43,False,AZ
2016-10-09,34,False,AZ
2016-10-16,40,False,AZ
2016-10-23,26,False,AZ
2016-10-30,37,False,AZ
2016-11-06,21,False,AZ
2016-11-13,37,False,AZ
2016-11-20,48,False,AZ
2016-11-27,39,False,AZ
2016-12-04,33,False,AZ
2016-12-11,35,False,AZ
2016-12-18,37,False,AZ
2016-12-25,35,False,AZ
2017-01-01,39,False,AZ
2017-01-08,25,False,AZ
2017-01-15,35,False,AZ
2017-01-22,34,False,AZ
2017-01-29,26,False,AZ
2017-02-05,26,False,AZ
2017-02-12,24,False,AZ
2017-02-19,23,False,AZ
2017-02-26,28,False,AZ
2017-03-05,26,False,AZ
2017-03-12,22,False,AZ
2017-03-19,22,False,AZ
2017-03-26,30,False,AZ
2017-04-02,19,False,AZ
2017-04-09,29,False,AZ
2017-04-16,22,False,AZ
2017-04-23,28,False,AZ
2017-04-30,25,False,AZ
2017-05-07,21,False,AZ
2017-05-14,18,False,AZ
2017-05-21,27,False,AZ
2017-05-28,31,False,AZ
2017-06-04,25,False,AZ
2017-06-11,25,False,AZ
2017-06-18,29,False,AZ
2017-06-25,47,False,AZ
2017-07-02,36,False,AZ
2017-07-09,33,False,AZ
2017-07-16,35,False,AZ
2017-07-23,25,False,AZ
2017-07-30,41,False,AZ
2017-08-06,20,False,AZ
2017-08-13,26,False,AZ
2017-08-20,18,False,AZ
2017-08-27,22,False,AZ
2017-09-03,30,False,AZ
2017-09-10,28,False,AZ
2017-09-17,24,False,AZ
2017-09-24,29,False,AZ
2017-10-01,31,False,AZ
2017-10-08,28,False,AZ
2017-10-15,33,False,AZ
2017-10-22,28,False,AZ
2017-10-29,29,False,AZ
2017-11-05,27,False,AZ
2017-11-12,25,False,AZ
2017-11-19,27,False,AZ
2017-11-26,33,False,AZ
2017-12-03,24,False,AZ
2017-12-10,28,False,AZ
2017-12-17,27,False,AZ
2017-12-24,32,False,AZ
2017-12-31,47,False,AZ
2018-01-07,34,False,AZ
2018-01-14,24,False,AZ
2018-01-21,32,False,AZ
2018-01-28,25,False,AZ
2018-02-04,22,False,AZ
2018-02-11,19,False,AZ
2018-02-18,26,False,AZ
2018-02-25,22,False,AZ
2018-03-04,19,False,AZ
2018-03-11,25,False,AZ
2018-03-18,27,False,AZ
2018-03-25,20,False,AZ
2018-04-01,27,False,AZ
2018-04-08,22,False,AZ
2018-04-15,22,False,AZ
2018-04-22,31,False,AZ
2018-04-29,33,False,AZ
2018-05-06,31,False,AZ
2018-05-13,30,False,AZ
2018-05-20,21,False,AZ
2018-05-27,32,False,AZ
2018-06-03,25,False,AZ
2018-06-10,24,False,AZ
2018-06-17,26,False,AZ
2018-06-24,37,False,AZ
2018-07-01,25,False,AZ
2018-07-08,39,False,AZ
2018-07-15,49,False,AZ
2018-07-22,29,False,AZ
2018-07-29,34,False,AZ
2018-08-05,36,False,AZ
2018-08-12,28,False,AZ
2018-08-19,31,False,AZ
2018-08-26,23,False,AZ
2018-09-02,36,False,AZ
2018-09-09,30,False,AZ
2018-09-16,24,False,AZ
2018-09-23,27,False,AZ
2018-09-30,33,False,AZ
2018-10-07,37,False,AZ
2018-10-14,33,False,AZ
2018-10-21,34,False,AZ
2018-10-28,31,False,AZ
2018-11-04,30,False,AZ
2018-11-11,39,False,AZ
2018-11-18,49,False,AZ
2018-11-25,35,False,AZ
2018-12-02,36,False,AZ
2018-12-09,26,False,AZ
2018-12-16,36,False,AZ
2018-12-23,40,False,AZ
2018-12-30,34,False,AZ
2015-01-04,39,False,AR
2015-01-11,15,False,AR
2015-01-18,35,False,AR
2015-01-25,25,False,AR
2015-02-01,33,False,AR
2015-02-08,32,False,AR
2015-02-15,33,False,AR
2015-02-22,19,False,AR
2015-03-01,32,False,AR
2015-03-08,18,False,AR
2015-03-15,32,False,AR
2015-03-22,37,False,AR
2015-03-29,13,False,AR
2015-04-05,26,False,AR
2015-04-12,18,False,AR
2015-04-19,21,False,AR
2015-04-26,29,False,AR
2015-05-03,24,False,AR
2015-05-10,25,False,AR
2015-05-17,27,False,AR
2015-05-24,34,False,AR
