date,pornhub,isPartial,State
2012-06-01,56,False,AR
2012-07-01,62,False,AR
2012-08-01,58,False,AR
2012-09-01,53,False,AR
2012-10-01,60,False,AR
2012-11-01,56,False,AR
2012-12-01,59,False,AR
2013-01-01,49,False,AR
2013-02-01,54,False,AR
2013-03-01,60,False,AR
2013-04-01,58,False,AR
2013-05-01,63,False,AR
2013-06-01,67,False,AR
2013-07-01,65,False,AR
2013-08-01,66,False,AR
2013-09-01,59,False,AR
2013-10-01,57,False,AR
2013-11-01,60,False,AR
2013-12-01,63,False,AR
2014-01-01,54,False,AR
2014-02-01,54,False,AR
2014-03-01,61,False,AR
2014-04-01,59,False,AR
2014-05-01,66,False,AR
2014-06-01,74,False,AR
2014-07-01,62,False,AR
2014-08-01,61,False,AR
2014-09-01,55,False,AR
2014-10-01,54,False,AR
2014-11-01,51,False,AR
2014-12-01,54,False,AR
2015-01-01,60,False,AR
2015-02-01,57,False,AR
2015-03-01,60,False,AR
2015-04-01,49,False,AR
2015-05-01,63,False,AR
2015-06-01,73,False,AR
2015-07-01,62,False,AR
2015-08-01,71,False,AR
2015-09-01,58,False,AR
2015-10-01,58,False,AR
2015-11-01,67,False,AR
2015-12-01,65,False,AR
2016-01-01,64,False,AR
2016-02-01,64,False,AR
2016-03-01,60,False,AR
2016-04-01,66,False,AR
2016-05-01,71,False,AR
2016-06-01,70,False,AR
2016-07-01,73,False,AR
2016-08-01,74,False,AR
2016-09-01,71,False,AR
2016-10-01,67,False,AR
2016-11-01,67,False,AR
2016-12-01,73,False,AR
2017-01-01,64,False,AR
2017-02-01,65,False,AR
2017-03-01,69,False,AR
2017-04-01,79,False,AR
2017-05-01,75,False,AR
2017-06-01,80,False,AR
2017-07-01,80,False,AR
2017-08-01,74,False,AR
2017-09-01,76,False,AR
2017-10-01,74,False,AR
2017-11-01,86,False,AR
2017-12-01,85,False,AR
2018-01-01,79,False,AR
2018-02-01,82,False,AR
2018-03-01,89,False,AR
2018-04-01,81,False,AR
2018-05-01,90,False,AR
2018-06-01,100,False,AR
2018-07-01,93,False,AR
2018-08-01,90,False,AR
2018-09-01,84,False,AR
2018-10-01,86,False,AR
2018-11-01,87,False,AR
2018-12-01,80,False,AR
2019-01-01,83,False,AR
2011-01-01,59,False,CA
2011-02-01,55,False,CA
2011-03-01,57,False,CA
2011-04-01,61,False,CA
2011-05-01,59,False,CA
2011-06-01,66,False,CA
2011-07-01,71,False,CA
2011-08-01,69,False,CA
