date,brownie recipe,isPartial,State
2015-03-08,0,False,AZ
2015-03-15,31,False,AZ
2015-03-22,34,False,AZ
2015-03-29,93,False,AZ
2015-04-05,31,False,AZ
2015-04-12,46,False,AZ
2015-04-19,30,False,AZ
2015-04-26,0,False,AZ
2015-05-03,0,False,AZ
2015-05-10,16,False,AZ
2015-05-17,32,False,AZ
2015-05-24,33,False,AZ
2015-05-31,48,False,AZ
2015-06-07,65,False,AZ
2015-06-14,16,False,AZ
2015-06-21,0,False,AZ
2015-06-28,49,False,AZ
2015-07-05,32,False,AZ
2015-07-12,31,False,AZ
2015-07-19,32,False,AZ
2015-07-26,16,False,AZ
2015-08-02,0,False,AZ
2015-08-09,16,False,AZ
2015-08-16,15,False,AZ
2015-08-23,45,False,AZ
2015-08-30,0,False,AZ
2015-09-06,15,False,AZ
2015-09-13,0,False,AZ
2015-09-20,29,False,AZ
2015-09-27,100,False,AZ
2015-10-04,29,False,AZ
2015-10-11,29,False,AZ
2015-10-18,14,False,AZ
2015-10-25,14,False,AZ
2015-11-01,29,False,AZ
2015-11-08,45,False,AZ
2015-11-15,15,False,AZ
2015-11-22,61,False,AZ
2015-11-29,14,False,AZ
2015-12-06,0,False,AZ
2015-12-13,45,False,AZ
2015-12-20,0,False,AZ
2015-12-27,0,False,AZ
2016-01-03,38,False,AZ
2016-01-10,12,False,AZ
2016-01-17,13,False,AZ
2016-01-24,25,False,AZ
2016-01-31,12,False,AZ
2016-02-07,12,False,AZ
2016-02-14,37,False,AZ
2016-02-21,49,False,AZ
2016-02-28,24,False,AZ
2016-03-06,12,False,AZ
2016-03-13,0,False,AZ
2016-03-20,61,False,AZ
2016-03-27,0,False,AZ
2016-04-03,12,False,AZ
2016-04-10,62,False,AZ
2016-04-17,74,False,AZ
2016-04-24,25,False,AZ
2016-05-01,37,False,AZ
2016-05-08,38,False,AZ
2016-05-15,26,False,AZ
2016-05-22,27,False,AZ
2016-05-29,14,False,AZ
2016-06-05,13,False,AZ
2016-06-12,0,False,AZ
2016-06-19,40,False,AZ
2016-06-26,54,False,AZ
2016-07-03,28,False,AZ
2016-07-10,41,False,AZ
2016-07-17,27,False,AZ
2016-07-24,0,False,AZ
2016-07-31,41,False,AZ
2016-08-07,14,False,AZ
2016-08-14,0,False,AZ
2016-08-21,53,False,AZ
2016-08-28,13,False,AZ
2016-09-04,13,False,AZ
2016-09-11,13,False,AZ
2016-09-18,49,False,AZ
2016-09-25,0,False,AZ
2016-10-02,62,False,AZ
2016-10-09,65,False,AZ
2016-10-16,38,False,AZ
2016-10-23,12,False,AZ
2016-10-30,25,False,AZ
2016-11-06,12,False,AZ
2016-11-13,61,False,AZ
2016-11-20,25,False,AZ
2016-11-27,12,False,AZ
2016-12-04,57,False,AZ
2016-12-11,71,False,AZ
2016-12-18,12,False,AZ
2016-12-25,13,False,AZ
2017-01-01,24,False,AZ
2017-01-08,34,False,AZ
2017-01-15,11,False,AZ
2017-01-22,34,False,AZ
2017-01-29,33,False,AZ
2017-02-05,54,False,AZ
2017-02-12,43,False,AZ
2017-02-19,11,False,AZ
2017-02-26,21,False,AZ
2017-03-05,32,False,AZ
2017-03-12,55,False,AZ
2017-03-19,22,False,AZ
2017-03-26,0,False,AZ
2017-04-02,11,False,AZ
2017-04-09,22,False,AZ
2017-04-16,11,False,AZ
2017-04-23,33,False,AZ
2017-04-30,22,False,AZ
2017-05-07,11,False,AZ
2017-05-14,23,False,AZ
2017-05-21,0,False,AZ
2017-05-28,13,False,AZ
2017-06-04,12,False,AZ
2017-06-11,24,False,AZ
2017-06-18,46,False,AZ
2017-06-25,12,False,AZ
2017-07-02,13,False,AZ
2017-07-09,12,False,AZ
2017-07-16,61,False,AZ
2017-07-23,24,False,AZ
2017-07-30,23,False,AZ
2017-08-06,0,False,AZ
2017-08-13,22,False,AZ
2017-08-20,11,False,AZ
2017-08-27,11,False,AZ
2017-09-03,22,False,AZ
2017-09-10,22,False,AZ
2017-09-17,43,False,AZ
2017-09-24,22,False,AZ
2017-10-01,44,False,AZ
2017-10-08,23,False,AZ
2017-10-15,0,False,AZ
2017-10-22,0,False,AZ
2017-10-29,33,False,AZ
2017-11-05,22,False,AZ
2017-11-12,11,False,AZ
2017-11-19,0,False,AZ
2017-11-26,21,False,AZ
2017-12-03,11,False,AZ
2017-12-10,0,False,AZ
2017-12-17,57,False,AZ
2017-12-24,73,False,AZ
2017-12-31,23,False,AZ
2018-01-07,21,False,AZ
2018-01-14,41,False,AZ
2018-01-21,41,False,AZ
2018-01-28,20,False,AZ
2018-02-04,31,False,AZ
2018-02-11,20,False,AZ
2018-02-18,10,False,AZ
2018-02-25,10,False,AZ
2018-03-04,41,False,AZ
2018-03-11,21,False,AZ
2018-03-18,63,False,AZ
2018-03-25,31,False,AZ
2018-04-01,0,False,AZ
2018-04-08,10,False,AZ
2018-04-15,21,False,AZ
2018-04-22,31,False,AZ
2018-04-29,21,False,AZ
2018-05-06,10,False,AZ
2018-05-13,32,False,AZ
2018-05-20,11,False,AZ
2018-05-27,45,False,AZ
2018-06-03,11,False,AZ
2018-06-10,33,False,AZ
2018-06-17,22,False,AZ
2018-06-24,11,False,AZ
2018-07-01,46,False,AZ
2018-07-08,11,False,AZ
2018-07-15,23,False,AZ
2018-07-22,44,False,AZ
2018-07-29,33,False,AZ
2018-08-05,21,False,AZ
2018-08-12,32,False,AZ
2018-08-19,32,False,AZ
2018-08-26,11,False,AZ
2018-09-02,11,False,AZ
2018-09-09,21,False,AZ
2018-09-16,42,False,AZ
2018-09-23,21,False,AZ
2018-09-30,11,False,AZ
2018-10-07,0,False,AZ
2018-10-14,22,False,AZ
2018-10-21,22,False,AZ
2018-10-28,11,False,AZ
2018-11-04,20,False,AZ
2018-11-11,54,False,AZ
2018-11-18,33,False,AZ
2018-11-25,10,False,AZ
2018-12-02,11,False,AZ
2018-12-09,21,False,AZ
2018-12-16,11,False,AZ
2018-12-23,81,False,AZ
2018-12-30,22,False,AZ
2015-01-04,71,False,AR
2015-01-11,0,False,AR
2015-01-18,70,False,AR
2015-01-25,0,False,AR
2015-02-01,33,False,AR
2015-02-08,34,False,AR
2015-02-15,35,False,AR
2015-02-22,33,False,AR
2015-03-01,0,False,AR
2015-03-08,0,False,AR
2015-03-15,0,False,AR
2015-03-22,0,False,AR
2015-03-29,0,False,AR
2015-04-05,0,False,AR
2015-04-12,35,False,AR
2015-04-19,36,False,AR
2015-04-26,0,False,AR
2015-05-03,0,False,AR
2015-05-10,38,False,AR
2015-05-17,37,False,AR
